AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.613,2.169,-60,1.018,0.154,-47,10.803,1.698,-69,1,1
7.613,2.099,-65,1.047,0.116,-47,10.842,1.696,-69,1,1
7.701,1.935,-60,1.077,0.126,-47,10.725,1.998,-69,1,1
7.701,1.98,-64,1.047,0.132,-47,10.92,1.829,-69,1,1
7.789,2.077,-63,1.106,0.162,-47,10.842,1.765,-69,1,1
7.701,2.04,-64,1.018,0.15,-47,10.881,1.761,-69,1,1
7.789,1.788,-64,1.077,0.153,-47,10.803,1.814,-69,1,1
7.76,1.99,-64,1.077,0.138,-46,10.842,1.694,-69,1,1
7.379,2.404,-65,1.077,0.116,-47,10.881,1.76,-69,1,1
7.379,2.465,-66,1.077,0.15,-47,10.764,1.891,-69,1,1
7.32,0.04,-67,1.047,0.174,-47,10.842,1.825,-69,1,1
7.525,2.395,-65,1.047,0.125,-46,10.764,1.789,-69,1,1
7.525,2.397,-65,1.047,0.15,-47,10.647,1.978,-69,1,1
7.467,2.463,-65,1.018,0.229,-46,10.647,1.966,-69,1,1
7.496,2.526,-66,1.077,0.121,-47,10.803,1.887,-69,1,1
7.624,2.268,-60,0.999,0.154,-47,10.647,1.907,-69,1,1
7.525,2.242,-64,1.038,0.153,-47,10.569,1.874,-70,1,1
7.613,2.064,-64,1.018,0.132,-47,10.725,1.823,-70,1,1
7.701,2.057,-63,0.989,0.177,-47,10.647,1.992,-70,1,1
7.555,2.325,-60,0.989,0.103,-47,10.647,2.11,-70,1,1
7.525,2.079,-57,1.106,0.121,-47,10.569,2.103,-69,1,1
7.613,2.079,-60,1.106,0.123,-47,10.725,2.099,-69,1,1
7.496,2.276,-65,1.135,0.138,-47,10.764,2.021,-69,1,1
7.467,2.328,-64,1.135,0.163,-47,10.881,1.834,-69,1,1
7.437,2.321,-64,1.116,0.106,-47,10.881,1.878,-69,1,1
7.643,2.161,-64,1.106,0.104,-47,10.686,2.003,-69,1,1
7.408,2.182,-65,1.047,0.097,-46,10.725,1.897,-69,1,1
7.975,2.038,-60,1.038,0.171,-47,10.647,1.937,-69,1,1
7.584,2.175,-65,1.018,0.164,-47,10.647,1.893,-69,1,1
7.613,2.214,-65,0.989,0.175,-47,10.764,1.818,-69,1,1
7.613,2.235,-64,1.047,0.171,-47,10.842,1.837,-69,1,1
7.701,2.231,-66,1.018,0.182,-47,10.608,1.896,-69,1,1
7.613,2.313,-65,1.077,0.146,-47,10.803,1.773,-69,1,1
7.643,2.279,-64,1.077,0.083,-47,10.569,1.888,-69,1,1
7.643,2.321,-64,1.018,0.131,-47,10.647,1.848,-69,1,1
7.525,2.434,-65,1.018,0.126,-47,10.686,1.918,-69,1,1
7.467,2.442,-65,0.998,0.158,-47,10.725,1.795,-69,1,1
7.672,2.266,-65,0.998,0.171,-47,10.491,1.881,-69,1,1
7.643,2.128,-60,1.038,0.136,-47,10.686,1.857,-69,1,1
7.643,2.221,-64,1.037,0.109,-47,10.725,1.779,-69,1,1
7.525,2.182,-64,1.038,0.158,-47,10.764,1.762,-69,1,1
7.739,2.133,-63,1.038,0.181,-47,10.842,1.709,-69,1,1
7.613,2.257,-64,1.106,0.164,-47,10.725,1.765,-69,1,1
7.672,2.225,-64,1.038,0.132,-48,10.686,1.726,-69,1,1
7.643,2.301,-64,1.116,0.164,-47,10.686,1.728,-69,1,1
7.613,2.293,-64,0.998,0.174,-48,10.686,1.755,-69,1,1
7.555,2.379,-64,1.018,0.177,-47,10.764,1.762,-69,1,1
7.643,2.319,-64,1.047,0.177,-47,10.842,1.678,-69,1,1
7.701,2.121,-59,1.077,0.083,-48,10.725,1.722,-69,1,1
7.613,2.292,-64,1.106,0.123,-47,10.725,1.767,-69,1,1
7.613,2.335,-64,1.106,0.121,-46,10.608,1.782,-69,1,1
7.584,2.405,-64,0.999,0.138,-46,10.686,1.771,-69,1,1
7.701,2.288,-64,1.077,0.136,-46,10.686,1.744,-69,1,1
7.584,2.365,-64,1.077,0.153,-47,10.764,1.731,-70,1,1
7.643,2.339,-64,1.077,0.146,-47,10.725,1.824,-70,1,1
7.584,2.345,-64,1.077,0.17,-47,10.764,1.789,-69,1,1
7.613,2.352,-64,1.047,0.115,-46,10.686,1.814,-69,1,1
7.672,2.231,-64,1.047,0.126,-46,10.803,1.772,-69,1,1
7.613,1.616,-65,0.998,0.171,-46,10.686,1.814,-69,1,1
7.555,2.058,-64,1.106,0.121,-46,10.725,1.765,-69,1,1
7.525,2.357,-64,1.116,0.138,-46,10.725,1.736,-69,1,1
7.525,2.144,-64,0.998,0.154,-46,10.725,1.736,-69,1,1
7.584,2.049,-64,1.077,0.152,-46,10.764,1.789,-69,1,1
7.555,1.767,-65,1.018,0.164,-46,10.764,1.76,-69,1,1
7.555,1.588,-59,0.999,0.132,-47,10.764,1.774,-69,1,1
7.643,2.055,-60,1.077,0.083,-47,10.764,1.718,-69,1,1
7.613,2.209,-60,1.077,0.164,-47,10.608,1.794,-69,1,1
7.555,2.322,-65,0.989,0.146,-47,10.686,1.742,-69,1,1
7.643,2.279,-65,1.077,0.104,-47,10.647,1.774,-69,1,1
7.701,2.231,-65,1.077,0.149,-47,10.725,1.722,-70,1,1
7.496,2.407,-65,1.077,0.116,-47,10.803,1.873,-69,1,1
7.584,2.367,-64,1.077,0.175,-47,10.764,1.804,-69,1,1
7.672,2.4,-64,1.047,0.158,-47,10.647,1.848,-69,1,1
7.731,2.398,-62,1.018,0.126,-47,10.725,1.866,-69,1,1
7.731,2.369,-64,1.047,0.17,-48,10.725,1.839,-69,1,1
7.76,2.374,-65,1.018,0.153,-48,10.764,1.819,-69,1,1
7.789,2.342,-65,0.959,0.136,-48,10.725,1.794,-69,1,1
7.672,2.362,-64,1.077,0.125,-47,10.686,1.769,-69,1,1
7.76,2.28,-64,0.959,0.153,-47,10.92,1.699,-69,1,1
7.731,2.276,-64,1.038,0.14,-47,10.725,1.808,-69,1,1
7.731,2.259,-64,1.038,0.162,-47,10.725,1.779,-69,1,1
7.789,2.284,-64,1.018,0.124,-47,10.725,1.75,-69,1,1
7.731,2.295,-64,1.047,0.074,-47,10.881,1.704,-69,1,1
7.76,2.301,-64,1.038,0.162,-47,10.725,1.778,-69,1,1
7.731,2.239,-64,1.047,0.177,-47,10.764,1.774,-69,1,1
