AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
6.93,1.368,-55,3.127,0.491,-59,9.133,0.084,-67,2,2
7.242,0.841,-56,3.537,0.304,-58,9.826,0.999,-66,2,2
8.414,1.289,-53,3.684,1.23,-62,9.436,0.549,-66,2,2
6.5,1.367,-55,3.508,1.466,-63,8.811,2.683,-68,2,2
6.695,0.879,-56,3.498,0.165,-51,8.889,1.471,-67,2,2
6.578,1.777,-56,2.756,0.398,-54,8.381,2.759,-67,2,2
6.5,1.725,-57,3.596,1.508,-52,8.811,1.904,-66,2,2
6.578,1.529,-57,3.381,0.205,-52,14.026,0.184,-67,2,2
6.539,1.736,-57,3.538,0.134,-53,8.538,1.599,-67,2,2
6.461,1.949,-57,3.596,0.126,-53,8.655,1.229,-67,2,2
6.98,1.683,-55,3.713,0.301,-54,8.616,2.261,-66,2,2
6.578,1.789,-57,3.342,0.165,-53,8.538,1.458,-66,2,2
6.695,1.731,-57,3.303,0.273,-52,8.655,2.602,-66,2,2
6.383,1.943,-57,3.684,0.342,-53,8.772,1.61,-66,2,2
6.539,2.04,-56,3.381,0.203,-53,8.811,2.074,-66,2,2
6.578,1.79,-57,3.537,1.224,-52,8.733,1.987,-66,2,2
6.656,1.72,-57,3.225,0.22,-52,8.811,2.113,-66,2,2
6.5,1.742,-57,3.713,0.208,-52,8.733,1.33,-66,2,2
6.656,0.987,-57,3.577,0.109,-52,8.616,1.969,-65,2,2
6.461,1.818,-57,3.567,1.305,-52,8.772,1.414,-66,2,2
6.734,1.756,-57,3.567,1.348,-53,8.655,1.49,-66,2,2
6.617,1.943,-57,3.459,0.125,-54,8.577,1.401,-66,2,2
6.656,1.737,-57,3.537,0.128,-53,8.616,1.475,-66,2,2
6.656,1.779,-57,3.42,0.147,-53,8.577,1.371,-66,2,2
6.656,1.618,-57,3.264,0.265,-52,8.538,1.431,-66,2,2
6.656,1.751,-57,3.225,0.214,-52,8.577,1.425,-66,2,2
6.656,1.737,-57,3.147,0.286,-52,8.694,1.345,-66,2,2
6.461,1.847,-57,3.342,0.154,-52,8.694,1.337,-65,2,2
6.578,1.76,-57,3.303,0.186,-53,8.655,1.474,-65,2,2
6.461,1.891,-57,3.264,0.3,-52,8.733,1.48,-65,2,2
6.617,1.77,-57,3.342,0.213,-52,8.772,1.273,-65,2,2
6.539,1.837,-57,3.342,0.216,-52,8.577,1.397,-65,2,2
6.656,1.678,-57,3.381,0.204,-53,8.733,1.337,-65,2,2
6.539,1.926,-53,3.303,0.206,-52,8.577,1.504,-65,2,2
6.695,1.605,-57,3.264,0.249,-52,8.498,1.466,-65,2,2
7.608,1.731,-52,3.264,0.233,-52,8.655,1.51,-66,2,2
6.695,1.612,-56,3.342,0.225,-52,8.694,1.343,-65,2,2
6.5,1.844,-57,3.342,0.227,-52,8.538,1.432,-65,2,2
6.344,1.949,-57,3.264,0.224,-53,8.616,1.95,-66,2,2
6.656,1.839,-57,3.342,0.198,-52,8.694,1.356,-66,2,2
6.539,1.996,-57,3.225,0.279,-52,8.772,1.432,-65,2,2
6.735,1.742,-57,3.342,0.258,-52,8.499,1.381,-65,2,2
6.983,1.819,-52,3.225,0.286,-52,8.733,1.502,-66,2,2
6.539,1.88,-57,3.303,0.23,-52,8.733,1.284,-65,2,2
7.139,1.644,-52,3.498,0.225,-52,8.655,1.373,-65,2,2
6.383,2.031,-57,3.303,0.233,-52,8.733,1.275,-65,2,2
6.5,1.876,-57,3.147,0.337,-52,8.967,1.195,-65,2,2
6.774,1.768,-57,3.264,0.235,-52,8.772,1.263,-64,2,2
6.695,1.761,-57,3.303,0.229,-52,8.889,1.213,-65,2,2
6.656,1.752,-57,3.225,0.246,-52,8.811,1.297,-65,2,2
6.539,1.853,-57,3.264,0.221,-52,8.733,1.402,-65,2,2
6.422,1.955,-57,3.264,0.233,-52,9.006,1.175,-66,2,2
6.578,1.949,-57,3.303,0.229,-52,8.889,1.179,-66,2,2
6.461,1.906,-57,3.186,0.246,-52,8.694,2.516,-66,2,2
6.5,1.886,-57,3.538,0.154,-52,8.733,1.348,-65,2,2
6.539,1.911,-57,3.342,0.212,-52,8.538,1.476,-66,2,2
6.5,1.972,-57,3.264,0.207,-52,8.577,1.271,-66,2,2
6.539,1.752,-57,3.225,0.25,-52,8.655,1.309,-65,2,2
6.266,2.101,-52,3.186,0.229,-52,8.459,1.452,-65,2,2
6.617,1.758,-57,3.303,0.238,-52,8.538,1.444,-66,2,2
