AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
9.576,0.556,-64,7.024,0.677,-66,9.514,0.339,-71,6,2
9.84,0.267,-59,6.731,0.532,-68,8.869,1.437,-66,6,2
9.234,0.69,-56,7.483,0.173,-68,10.959,1.92,-70,6,2
10.524,1.215,-67,7.727,0.2,-72,9.075,1.22,-65,6,2
10.133,0.225,-61,7.727,0.124,-75,8.499,0.148,-71,6,2
9.763,0.501,-55,7.434,0.288,-69,9.075,0.897,-69,6,2
9.752,0.42,-54,7.2,0.342,-64,9.28,0.656,-71,6,2
9.488,0.508,-64,7.209,0.187,-71,9.895,0.437,-68,6,2
9.371,0.499,-64,9.123,0.995,-71,10.686,0.115,-70,6,2
9.4,0.527,-63,12.561,0.221,-66,9.133,0.719,-72,6,2
10.445,2.568,-59,7.639,1.539,-70,9.016,1.081,-70,6,2
10.445,2.46,-59,7.248,1.455,-69,10.159,0.856,-69,6,2
10.367,0.217,-62,7.522,0.258,-71,10.041,1.406,-70,6,2
9.342,0.671,-59,7.287,0.662,-69,9.748,0.393,-71,6,2
9.928,0.37,-62,7.873,0.248,-68,8.928,1.127,-68,6,2
9.177,0.771,-59,7.483,0.157,-66,9.456,0.451,-68,6,2
10.221,0.282,-58,7.346,0.61,-69,9.28,0.739,-77,6,2
10.514,0.497,-60,7.317,0.343,-68,8.811,0.885,-69,6,2
9.986,0.502,-63,7.463,0.372,-71,9.25,0.658,-71,6,2
10.514,0.474,-57,7.112,0.677,-71,8.811,0.938,-69,6,2
10.191,0.211,-61,7.581,0.308,-72,9.309,0.806,-70,6,2
10.191,0.315,-56,7.258,0.534,-69,9.397,0.634,-69,6,2
10.367,0.177,-58,7.17,0.294,-70,9.368,0.647,-69,6,2
10.66,0.122,-63,7.317,0.287,-69,9.162,0.759,-65,6,2
10.338,0.186,-62,7.17,0.665,-72,10.012,0.392,-69,6,2
10.748,0.187,-60,7.17,0.395,-73,9.338,0.753,-66,6,2
10.602,0.313,-60,7.17,0.431,-71,9.075,0.722,-69,6,2
10.104,0.504,-65,7.258,0.55,-72,8.987,0.922,-72,6,2
10.875,1.242,-56,7.141,0.252,-71,10.452,0.95,-72,6,2
10.162,0.273,-63,7.815,0.188,-72,10.246,0.147,-72,6,2
10.484,0.252,-64,7.2,0.362,-70,9.924,1.118,-73,6,2
10.104,0.32,-62,6.994,0.543,-71,9.866,0.873,-73,6,2
10.191,0.412,-63,7.141,0.582,-71,9.719,1.393,-73,6,2
10.455,0.237,-63,7.551,0.241,-72,9.836,0.416,-72,6,2
10.66,0.173,-61,7.346,0.458,-71,9.456,0.694,-73,6,2
10.396,0.292,-62,7.493,0.342,-71,10.071,0.365,-73,6,2
10.309,0.279,-62,7.463,0.355,-71,9.748,0.456,-73,6,2
10.367,0.306,-63,7.493,0.317,-72,10.012,0.419,-74,6,2
10.455,0.293,-62,7.141,0.317,-72,9.836,0.56,-73,6,2
10.543,0.248,-61,7.2,0.293,-72,9.895,0.55,-74,6,2
10.426,0.264,-62,7.258,0.279,-71,9.895,0.477,-73,6,2
10.543,0.232,-61,7.288,0.526,-72,10.041,0.402,-75,6,2
10.367,0.268,-61,7.288,0.199,-70,9.778,0.497,-74,6,2
10.279,0.348,-61,7.112,0.189,-69,9.866,0.388,-75,6,2
10.426,0.239,-61,8.811,1.191,-69,9.836,0.472,-74,6,2
