AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
4.625,0.456,-59,5.325,0.953,-58,7.346,1.387,-63,2,4
5.186,0.727,-55,5.559,1.424,-60,7.522,1.251,-62,2,4
4.781,0.52,-59,5.325,0.717,-58,7.698,0.556,-65,2,4
4.312,1.387,-54,5.09,0.934,-64,7.522,0.783,-62,2,4
4.43,1.998,-58,5.588,1.717,-64,7.463,1.047,-62,2,4
4.508,0.691,-58,5.559,0.187,-57,7.551,1.226,-62,2,4
4.391,0.598,-59,5.588,0.703,-59,7.581,0.928,-61,2,4
4.391,0.674,-59,5.617,0.569,-57,7.727,0.985,-61,2,4
4.43,0.627,-59,5.471,0.649,-59,7.61,1.051,-62,2,4
4.312,0.699,-60,5.354,0.824,-58,7.61,0.956,-62,2,4
4.43,0.599,-61,5.442,0.771,-61,7.698,0.867,-61,2,4
4.312,0.738,-60,5.442,0.823,-59,7.61,0.921,-61,2,4
4.43,0.592,-60,5.295,0.892,-59,7.698,0.929,-61,2,4
4.391,0.628,-58,5.383,0.834,-59,7.668,0.925,-61,2,4
4.352,0.692,-60,5.5,0.816,-61,7.639,0.954,-61,2,4
4.391,0.595,-59,5.354,0.823,-59,7.668,0.885,-61,2,4
4.391,0.663,-59,5.442,0.828,-62,7.61,0.978,-61,2,4
4.43,0.649,-59,5.354,0.978,-60,7.698,0.931,-60,2,4
4.43,0.635,-59,5.5,0.669,-60,7.639,0.947,-61,2,4
4.991,0.651,-54,5.442,0.828,-60,7.668,0.907,-61,2,4
4.352,1.832,-55,5.471,0.77,-60,7.639,0.887,-60,2,4
4.352,0.619,-59,5.442,0.831,-60,7.698,0.927,-61,2,4
4.352,0.708,-59,5.5,0.834,-61,7.551,1.019,-61,2,4
4.351,0.694,-59,5.5,0.871,-60,7.61,0.968,-61,2,4
4.313,0.711,-59,5.325,0.845,-59,7.698,0.917,-61,2,4
4.273,0.745,-59,5.442,0.785,-60,7.58,0.928,-61,2,4
4.469,0.574,-59,5.5,0.738,-59,7.58,0.89,-61,2,4
4.43,0.678,-59,5.5,0.762,-59,7.61,0.955,-61,2,4
4.351,0.691,-59,5.383,0.811,-59,7.639,0.874,-61,2,4
4.391,0.503,-59,5.412,0.858,-59,7.639,0.956,-61,2,4
4.391,0.631,-59,5.325,0.876,-59,7.58,0.942,-61,2,4
4.312,0.578,-59,5.471,0.768,-59,7.639,0.916,-61,2,4
4.43,0.585,-59,5.442,0.844,-60,7.668,0.903,-61,2,4
4.391,0.663,-59,5.5,0.795,-59,7.639,0.978,-61,2,4
4.312,0.741,-59,5.412,0.842,-59,7.58,0.992,-61,2,4
4.391,0.602,-59,5.442,0.803,-60,7.668,0.87,-60,2,4
4.352,0.591,-59,5.53,0.738,-59,7.668,0.866,-61,2,4
4.351,0.637,-59,5.5,0.769,-59,7.639,0.932,-60,2,4
4.391,0.624,-59,5.53,0.738,-59,7.668,0.883,-60,2,4
4.391,0.641,-59,5.442,0.763,-59,7.639,0.919,-60,2,4
4.43,0.592,-59,5.5,0.756,-59,7.522,1.026,-60,2,4
4.273,0.628,-59,5.5,0.816,-59,7.581,0.998,-60,2,4
4.43,0.599,-59,5.383,0.816,-59,7.668,0.879,-60,2,4
4.43,0.535,-59,5.5,0.774,-59,7.668,0.87,-60,2,4
4.43,0.623,-59,5.412,0.895,-59,7.61,0.935,-60,2,4
4.312,0.681,-59,5.442,0.859,-59,7.698,0.876,-60,2,4
4.352,0.692,-59,5.5,0.781,-59,7.727,0.914,-61,2,4
4.234,0.766,-59,5.471,0.746,-59,7.61,0.888,-61,2,4
4.391,0.598,-59,5.559,0.768,-59,7.61,0.913,-61,2,4
4.273,0.745,-59,5.5,0.797,-59,7.639,0.918,-61,2,4
4.469,0.59,-60,5.383,0.832,-59,7.698,0.867,-61,2,4
4.351,0.616,-60,5.559,0.728,-60,7.58,1.002,-61,2,4
4.351,0.59,-59,5.471,0.792,-59,7.639,0.903,-60,2,4
4.391,0.556,-59,5.325,0.88,-60,7.668,0.929,-60,2,4
4.312,0.725,-59,5.383,0.816,-59,7.61,0.977,-60,2,4
4.43,0.549,-59,5.413,0.767,-59,7.551,0.939,-61,2,4
4.351,0.68,-59,5.295,0.932,-59,7.727,0.854,-61,2,4
4.43,0.593,-59,5.442,0.83,-59,7.639,0.878,-60,2,4
4.273,0.624,-59,5.471,0.769,-59,7.639,0.937,-61,2,4
4.312,0.681,-60,5.413,0.817,-60,7.639,0.94,-60,2,4
4.352,0.616,-60,5.383,0.844,-59,7.698,0.908,-60,2,4
4.43,0.561,-60,5.5,0.769,-59,7.668,0.904,-61,2,4
4.312,0.599,-60,5.413,0.874,-59,7.698,0.91,-60,2,4
4.312,0.708,-59,5.5,0.823,-59,7.61,0.951,-61,2,4
4.312,0.713,-59,5.413,0.858,-60,7.668,0.929,-61,2,4
4.391,0.613,-60,5.471,0.789,-59,7.639,0.916,-61,2,4
4.312,0.635,-60,5.5,0.8,-60,7.727,0.852,-61,2,4
4.273,0.688,-60,5.5,0.734,-59,7.551,0.918,-60,2,4
4.508,1.473,-55,5.383,0.888,-60,7.61,0.947,-60,2,4
4.6,0.617,-55,5.559,0.765,-59,7.639,0.938,-61,2,4
4.234,0.702,-59,5.471,0.752,-59,7.61,0.973,-61,2,4
4.351,0.58,-60,5.354,0.886,-59,7.639,0.937,-60,2,4
4.351,0.619,-55,5.442,0.85,-59,7.756,0.838,-60,2,4
