AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
2.906,0.876,-58,6.545,0.198,-55,4.387,0.748,-63,2,6
3.18,1.214,-56,5.803,0.555,-55,4.329,0.704,-68,2,6
3.258,1.288,-56,6.848,0.844,-55,4.123,0.841,-68,2,6
4.561,1.344,-52,6.194,0.358,-54,4.27,0.763,-67,2,6
3.414,0.414,-59,6.584,0.189,-55,4.563,0.587,-67,2,6
3.219,0.894,-59,6.936,0.411,-54,5.061,0.328,-69,2,6
3.102,1.118,-57,6.76,0.311,-54,4.563,0.376,-69,2,6
3.219,1.567,-57,6.272,0.375,-54,5.725,1.548,-61,2,6
3.219,0.642,-58,5.764,0.597,-54,5.686,1.423,-64,2,6
3.375,0.196,-56,5.764,0.517,-55,4.299,0.752,-65,2,6
3.766,1.106,-57,5.764,0.555,-55,4.621,0.631,-66,2,6
3.609,1.476,-55,5.92,0.5,-55,5.061,0.431,-63,2,6
3.6,0.342,-57,6.155,0.42,-55,5.881,1.279,-64,2,6
3.727,1.136,-57,6.848,0.393,-56,4.358,0.759,-65,2,6
3.648,1.121,-57,7.083,1.9,-56,4.006,0.936,-65,2,6
3.531,0.589,-55,6.907,0.887,-55,4.299,0.716,-66,2,6
3.609,1.111,-58,6.907,0.441,-55,4.416,0.672,-66,2,6
3.766,0.826,-57,6.506,0.273,-55,4.27,0.76,-65,2,6
3.629,0.939,-57,6.35,0.302,-54,4.27,0.806,-66,2,6
3.57,0.577,-57,5.803,0.55,-54,4.27,0.746,-66,2,6
3.492,0.713,-57,6.194,0.319,-54,4.416,0.683,-64,2,6
3.453,0.677,-57,6.584,0.242,-54,4.299,0.724,-65,2,6
3.453,0.591,-56,6.311,0.293,-54,4.27,0.759,-65,2,6
3.688,0.819,-57,5.998,0.432,-54,4.211,0.777,-66,2,6
3.609,0.581,-57,6.037,0.456,-54,4.504,0.653,-65,2,6
3.609,0.555,-57,5.881,0.6,-55,4.299,0.752,-66,2,6
3.57,0.58,-58,5.92,0.497,-54,4.153,0.826,-65,2,6
3.414,0.664,-57,5.725,0.622,-55,4.27,0.787,-65,2,6
3.648,0.472,-57,5.764,0.657,-54,4.358,0.724,-65,2,6
4.678,0.92,-53,5.998,0.468,-55,4.211,0.829,-65,2,6
3.648,0.433,-57,5.686,0.644,-54,4.241,0.779,-65,2,6
3.531,0.587,-57,6.077,0.402,-54,4.299,0.748,-66,2,6
3.609,0.508,-57,6.389,0.216,-54,4.299,0.731,-65,2,6
3.609,0.451,-57,6.467,0.28,-55,4.299,0.765,-65,2,6
3.648,0.538,-57,6.311,0.32,-55,4.329,0.737,-66,2,6
3.961,0.306,-57,6.311,0.313,-54,4.27,0.765,-65,2,6
3.609,0.433,-57,5.959,0.492,-55,4.358,0.704,-66,2,6
3.687,0.541,-57,5.959,0.464,-55,4.27,0.724,-66,2,6
3.766,0.384,-57,5.842,0.512,-54,4.358,0.729,-65,2,6
3.648,0.772,-57,5.881,0.633,-54,4.299,0.762,-65,2,6
3.727,0.542,-57,5.998,0.511,-54,4.329,0.764,-65,2,6
3.414,0.68,-57,5.725,0.604,-54,4.299,0.755,-65,2,6
3.609,0.63,-56,5.803,0.681,-54,4.299,0.791,-66,2,6
3.805,0.414,-57,5.647,0.733,-54,4.27,0.768,-65,2,6
3.805,0.413,-57,5.803,0.628,-54,4.358,0.729,-65,2,6
3.922,0.338,-57,5.569,0.759,-54,4.329,0.714,-65,2,6
3.648,0.606,-57,5.647,0.65,-54,4.329,0.771,-65,2,6
3.609,0.538,-57,5.842,0.604,-54,4.241,0.724,-65,2,6
3.727,0.42,-57,5.725,0.653,-53,4.241,0.808,-65,2,6
3.727,0.455,-57,5.647,0.613,-54,4.358,0.689,-65,2,6
3.687,0.986,-53,5.764,0.587,-54,4.299,0.724,-65,2,6
3.687,0.526,-57,5.725,0.643,-54,4.299,0.739,-65,2,6
3.766,0.956,-57,5.764,0.589,-54,4.182,0.749,-65,2,6
3.648,0.537,-57,5.881,0.545,-54,4.329,0.701,-65,2,6
3.766,0.419,-57,5.881,0.566,-54,4.358,0.699,-65,2,6
3.648,0.543,-53,5.842,0.576,-54,4.182,0.806,-65,2,6
3.492,0.609,-57,5.803,0.546,-54,4.329,0.707,-65,2,6
3.57,0.617,-57,5.92,0.502,-54,4.211,0.83,-66,2,6
3.687,0.721,-52,5.803,0.521,-54,4.27,0.788,-65,2,6
3.531,0.645,-57,5.842,0.546,-54,4.416,0.694,-65,2,6
3.492,0.681,-57,5.881,0.521,-54,4.329,0.737,-65,2,6
3.57,0.512,-57,5.92,0.508,-54,4.329,0.71,-65,2,6
3.727,0.476,-57,5.803,0.587,-54,4.329,0.717,-65,2,6
3.727,0.499,-57,5.803,0.559,-54,4.329,0.761,-65,2,6
3.57,0.586,-57,5.725,0.631,-54,4.299,0.719,-65,2,6
3.805,0.688,-57,5.803,0.567,-54,4.211,0.809,-65,2,6
3.727,0.486,-57,5.803,0.573,-54,4.211,0.832,-66,2,6
3.648,0.565,-57,5.608,0.718,-54,4.241,0.759,-66,2,6
4.444,0.821,-53,5.608,0.703,-54,4.241,0.779,-66,2,6
3.727,0.408,-57,5.647,0.634,-54,4.27,0.811,-66,2,6
3.766,0.365,-57,5.725,0.634,-54,4.211,0.774,-65,2,6
4.795,0.864,-53,5.881,0.577,-54,4.241,0.759,-65,2,6
3.844,0.382,-57,5.764,0.668,-54,4.299,0.748,-66,2,6
