AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
8.141,2.185,-65,4.123,1.499,-60,10.012,1.114,-68,3,1
8.316,1.135,-63,4.358,0.764,-58,9.836,0.775,-69,3,1
8.101,1.383,-59,3.694,1.057,-60,9.631,0.953,-73,3,1
8.199,0.96,-57,3.85,1.135,-60,9.983,0.718,-69,3,1
8.415,1.089,-59,3.733,0.93,-60,10.041,1.161,-70,3,1
10.865,0.444,-62,3.733,1.433,-63,9.895,0.938,-70,3,1
8.404,1.146,-60,3.772,1.166,-56,10.071,0.681,-70,3,1
8.023,1.206,-59,3.889,0.976,-61,9.895,0.824,-70,3,1
8.287,1.612,-61,3.967,1.115,-60,10.129,0.803,-71,3,1
7.994,1.35,-62,3.889,1.04,-58,9.895,0.859,-69,3,1
7.936,1.378,-61,3.694,1.26,-59,9.807,0.771,-71,3,1
7.828,1.519,-55,3.577,1.103,-61,9.924,0.75,-72,3,1
8.141,1.298,-63,3.655,1.337,-62,9.69,0.886,-71,3,1
8.111,1.707,-57,3.694,1.264,-60,9.954,0.526,-72,3,1
7.936,1.67,-60,3.889,1.194,-64,10.012,0.78,-70,3,1
7.945,1.359,-64,3.772,1.241,-64,9.866,0.462,-71,3,1
7.936,1.339,-57,3.889,1.257,-65,9.836,0.467,-73,3,1
8.591,1.164,-57,3.928,1.027,-59,9.836,0.718,-73,3,1
8.141,1.338,-62,3.811,1.146,-59,9.748,0.692,-71,3,1
8.111,1.352,-60,3.889,1.14,-60,9.748,0.672,-72,3,1
8.287,1.36,-61,3.694,1.35,-59,9.748,0.687,-71,3,1
8.141,1.317,-61,3.889,1.207,-60,9.748,0.703,-71,3,1
7.994,1.543,-61,3.655,1.323,-61,9.748,0.624,-70,3,1
7.965,1.655,-62,3.733,1.245,-60,9.719,0.666,-71,3,1
8.18,1.638,-60,3.811,1.179,-60,9.661,0.736,-70,3,1
