AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
5.445,0.28,-55,9.485,0.601,-68,2.688,0.15,-55,5,7
4.938,1.066,-55,12.092,0.628,-68,2.629,0.214,-54,5,7
4.918,0.626,-54,13.03,1.237,-70,2.717,0.139,-55,5,7
6.319,1.056,-50,7.844,0.603,-66,2.717,0.215,-53,5,7
7.262,0.067,-55,7.522,2.073,-68,2.629,0.27,-55,5,7
5.484,1.148,-55,8.079,0.639,-64,2.864,0.138,-55,5,7
5.484,0.869,-56,7.903,0.754,-65,2.746,0.181,-54,5,7
5.992,0.706,-56,7.961,0.62,-64,2.688,0.203,-55,5,7
5.914,0.731,-56,7.932,0.65,-65,2.805,0.211,-55,5,7
5.797,0.803,-56,7.815,0.789,-65,2.659,0.226,-55,5,7
5.836,0.732,-55,7.932,0.706,-64,2.717,0.258,-55,5,7
5.875,0.766,-56,7.903,0.714,-64,2.688,0.234,-55,5,7
5.641,1.465,-54,7.903,0.736,-64,2.776,0.196,-55,5,7
6.109,0.721,-56,7.873,0.74,-65,2.688,0.203,-55,5,7
5.523,0.991,-55,7.756,0.77,-66,2.659,0.205,-55,5,7
5.836,0.798,-56,7.903,0.739,-66,2.776,0.216,-55,5,7
6.539,0.399,-56,7.932,0.663,-66,2.717,0.226,-55,5,7
5.533,0.868,-56,7.873,0.701,-66,2.776,0.196,-55,5,7
6.148,0.697,-51,7.786,0.685,-66,2.659,0.187,-55,5,7
6.031,0.854,-51,7.961,0.703,-66,2.834,0.136,-55,5,7
6.227,0.578,-56,7.873,0.744,-66,2.805,0.192,-55,5,7
5.992,0.604,-56,7.932,0.695,-67,2.688,0.255,-55,5,7
5.602,0.837,-55,7.844,0.837,-67,2.717,0.154,-55,5,7
5.797,0.78,-55,7.991,0.702,-66,2.746,0.14,-55,5,7
7.184,1.632,-52,7.815,0.77,-66,2.776,0.196,-55,5,7
5.992,0.784,-56,8.02,0.637,-66,2.688,0.208,-55,5,7
5.719,0.944,-55,7.873,0.782,-66,2.688,0.224,-55,5,7
6.774,0.739,-56,7.991,0.659,-66,2.659,0.229,-55,5,7
6.656,0.373,-55,7.932,0.739,-66,2.776,0.175,-55,5,7
6.813,0.312,-55,7.815,0.79,-66,2.688,0.23,-55,5,7
6.148,0.636,-57,7.903,0.635,-66,2.659,0.277,-55,5,7
6.344,0.603,-57,7.903,0.73,-67,2.746,0.196,-55,5,7
6.695,0.298,-56,7.903,0.705,-66,2.659,0.187,-55,5,7
6.539,0.326,-55,8.02,0.602,-66,2.746,0.186,-55,5,7
6.852,0.274,-55,7.873,0.757,-66,2.746,0.225,-55,5,7
6.617,0.421,-55,7.991,0.558,-66,2.717,0.15,-55,5,7
5.016,1.057,-56,8.079,0.582,-66,2.688,0.226,-55,5,7
7.155,0.973,-56,7.844,0.625,-66,2.688,0.224,-55,5,7
7.565,1.039,-49,7.961,0.61,-66,2.746,0.215,-55,5,7
6.227,0.604,-56,7.873,0.606,-66,2.659,0.205,-55,5,7
6.422,0.514,-56,8.079,0.525,-64,2.746,0.187,-55,5,7
6.422,0.414,-55,7.786,0.764,-65,2.805,0.163,-55,5,7
6.969,0.206,-56,8.02,0.573,-65,2.688,0.237,-55,5,7
5.758,1.134,-51,7.903,0.78,-66,2.659,0.261,-55,5,7
6.002,0.702,-56,7.844,0.8,-66,2.717,0.178,-54,5,7
5.211,1.107,-55,7.903,0.806,-66,2.776,0.177,-55,5,7
5.836,0.728,-56,7.991,0.795,-66,2.717,0.196,-54,5,7
7.178,0.852,-52,7.991,0.759,-65,2.659,0.213,-55,5,7
6.422,0.485,-55,7.815,0.735,-66,2.717,0.232,-55,5,7
5.484,0.863,-56,7.903,0.683,-66,2.6,0.217,-55,5,7
6.07,0.762,-52,7.756,0.874,-65,2.776,0.177,-55,5,7
5.484,0.9,-56,7.815,0.852,-65,2.717,0.181,-55,5,7
6.695,0.359,-56,7.815,0.811,-65,2.717,0.188,-55,5,7
6.774,0.231,-56,7.786,0.819,-66,2.688,0.241,-55,5,7
6.031,0.665,-55,7.903,0.767,-66,2.659,0.226,-55,5,7
5.367,1.025,-55,7.756,0.813,-66,2.746,0.197,-55,5,7
5.094,1.028,-56,8.196,0.603,-65,2.776,0.214,-55,5,7
7.32,0.198,-56,8.079,0.619,-66,2.776,0.164,-55,5,7
5.973,0.64,-55,8.02,0.652,-65,2.746,0.172,-55,5,7
7.242,0.14,-56,8.02,0.692,-66,2.746,0.213,-55,5,7
5.992,0.686,-55,7.873,0.653,-67,2.746,0.214,-55,5,7
7.174,0.292,-55,7.903,0.716,-66,2.834,0.145,-55,5,7
6.305,0.442,-56,8.02,0.61,-65,2.688,0.217,-55,5,7
6.891,0.266,-56,7.815,0.844,-65,2.746,0.208,-54,5,7
6.813,0.336,-56,7.873,0.738,-65,2.746,0.14,-55,5,7
