AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
2.32,0.442,-55,9.709,1.354,-65,5.793,0.544,-61,1,7
2.203,0.466,-52,9.983,1.178,-65,5.295,0.759,-63,1,7
2.203,0.538,-52,10.627,0.139,-65,6.672,0.164,-63,1,7
2.437,0.548,-53,10.569,0.375,-65,6.858,2.185,-63,1,7
2.281,0.559,-54,7.444,1.019,-63,6.741,0.885,-63,1,7
3.014,0.057,-56,6.897,0.39,-65,6.663,1.155,-65,1,7
2.906,0.746,-58,6.936,1.313,-62,6.78,1.093,-67,1,7
3.102,0.298,-56,6.897,1.214,-63,6.819,1.133,-68,1,7
2.75,2.194,-57,6.858,1.366,-63,7.112,2.56,-63,1,7
2.633,1.692,-58,6.78,1.516,-61,7.014,1.822,-65,1,7
2.984,0.195,-55,6.623,1.593,-60,6.389,0.785,-65,1,7
2.672,2.077,-60,6.506,1.723,-58,4.827,1.205,-68,1,7
2.828,1.441,-61,6.623,1.996,-59,5.647,0.837,-65,1,7
2.594,2.548,-60,6.819,1.568,-59,7.053,0.754,-66,1,7
2.789,2.236,-59,6.663,1.648,-58,5.325,0.78,-66,1,7
2.594,1.783,-61,6.623,1.536,-60,6.936,0.849,-68,1,7
2.633,2.38,-60,6.702,1.251,-60,7.17,0.968,-68,1,7
2.555,2.002,-60,6.702,1.584,-58,7.209,0.958,-65,1,7
2.828,2.349,-60,6.584,1.557,-60,7.249,1.726,-67,1,7
2.672,2.48,-61,6.623,1.695,-58,7.327,1.085,-66,1,7
2.711,2.431,-61,6.623,1.666,-58,7.209,0.995,-65,1,7
2.691,2.351,-61,6.545,1.602,-58,7.131,0.882,-66,1,7
2.691,2.339,-61,6.624,1.623,-58,7.092,0.854,-67,1,7
2.691,2.422,-61,6.663,1.621,-58,7.248,0.834,-67,1,7
2.555,2.477,-61,6.702,1.625,-59,7.248,1.003,-67,1,7
2.672,2.439,-61,6.624,1.579,-59,7.131,0.852,-67,1,7
2.711,2.208,-61,6.545,1.588,-58,6.877,0.899,-67,1,7
2.633,2.38,-61,6.545,1.62,-58,7.131,0.989,-67,1,7
2.672,2.405,-61,6.702,1.599,-59,7.248,0.792,-67,1,7
2.672,2.404,-61,6.584,1.612,-58,7.209,0.94,-67,1,7
3.272,2.107,-56,6.584,1.596,-58,7.209,0.957,-67,1,7
2.633,2.452,-56,6.545,1.646,-58,7.17,1.105,-67,1,7
2.516,2.336,-61,6.506,1.666,-58,7.209,0.955,-67,1,7
2.594,2.388,-59,6.623,1.623,-58,7.17,0.978,-67,1,7
2.633,2.394,-61,6.584,1.658,-59,7.092,0.997,-67,1,7
3.116,2.212,-56,6.663,1.589,-58,7.092,0.941,-67,1,7
2.75,2.293,-61,6.584,1.615,-58,7.131,1.003,-67,1,7
2.633,2.439,-61,6.545,1.646,-58,7.131,1.025,-67,1,7
2.672,2.226,-61,6.702,1.604,-58,7.248,0.969,-67,1,7
2.555,2.447,-61,6.584,1.628,-58,7.131,0.965,-67,1,7
2.633,2.38,-61,6.584,1.639,-58,7.17,0.935,-67,1,7
2.75,2.306,-61,6.623,1.593,-58,7.209,0.982,-66,1,7
2.75,2.338,-61,6.584,1.611,-58,7.209,1.038,-67,1,7
2.633,2.409,-61,6.584,1.628,-58,7.288,1.009,-66,1,7
2.789,2.19,-61,6.623,1.607,-58,7.131,0.805,-67,1,7
2.789,2.304,-60,6.584,1.639,-59,7.209,0.801,-66,1,7
2.691,2.372,-61,6.545,1.651,-58,7.327,0.953,-67,1,7
2.672,2.275,-61,6.623,1.609,-58,7.131,0.925,-67,1,7
2.633,2.243,-61,6.584,1.616,-58,7.17,0.988,-67,1,7
2.672,2.228,-61,6.623,1.607,-58,7.17,0.96,-67,1,7
2.686,2.415,-56,6.584,1.626,-59,7.288,0.97,-67,1,7
2.555,2.505,-61,6.623,1.606,-58,7.209,0.937,-66,1,7
2.555,2.507,-58,6.663,1.603,-58,7.131,1.024,-67,1,7
2.672,2.388,-60,6.624,1.593,-58,7.024,0.838,-67,1,7
2.555,2.374,-60,6.741,1.538,-59,7.131,0.99,-67,1,7
2.633,2.379,-61,6.545,1.66,-58,7.17,0.847,-67,1,7
2.633,2.133,-61,6.467,1.656,-58,7.131,1.015,-67,1,7
2.516,2.48,-61,6.545,1.659,-58,7.248,0.766,-67,1,7
2.691,2.374,-61,6.663,1.615,-58,7.209,0.781,-67,1,7
2.672,2.229,-61,6.584,1.626,-58,7.131,0.903,-67,1,7
2.594,2.399,-61,6.623,1.607,-59,7.17,1.015,-67,1,7
2.75,2.263,-61,6.584,1.644,-58,7.083,0.83,-67,1,7
2.516,2.514,-61,6.584,1.627,-58,7.131,0.941,-67,1,7
2.672,2.227,-60,6.663,1.607,-58,7.131,0.972,-67,1,7
2.594,2.416,-61,6.623,1.644,-58,7.17,1.001,-66,1,7
2.672,2.376,-61,6.545,1.664,-58,7.209,1.021,-67,1,7
2.672,2.359,-61,6.545,1.647,-58,7.092,0.974,-67,1,7
2.594,2.441,-61,6.624,1.654,-58,7.209,0.944,-67,1,7
2.633,2.423,-61,6.584,1.643,-59,7.17,0.966,-67,1,7
2.711,2.208,-61,6.545,1.675,-58,7.131,1.015,-67,1,7
2.672,2.345,-61,6.584,1.6,-58,7.092,0.958,-67,1,7
2.789,2.172,-61,6.545,1.601,-58,7.209,0.78,-67,1,7
2.594,2.403,-61,6.584,1.626,-58,7.209,0.937,-67,1,7
2.828,2.285,-61,6.623,1.673,-58,8.928,0,-68,1,7
3.194,2.141,-56,6.506,1.667,-59,7.209,1.005,-67,1,7
2.672,2.257,-61,6.584,1.642,-59,7.209,0.809,-67,1,7
2.711,2.176,-61,6.624,1.628,-58,7.053,0.869,-67,1,7
2.476,2.458,-61,6.584,1.644,-58,7.131,1.007,-66,1,7
2.711,2.355,-61,6.584,1.671,-59,7.209,0.829,-66,1,7
2.711,2.227,-61,10.1,0,-61,7.248,0.766,-66,1,7
2.711,2.313,-61,6.584,1.596,-59,7.288,0.901,-67,1,7
3.624,2.149,-53,6.584,1.662,-58,7.209,0.956,-67,1,7
2.711,2.227,-61,6.584,1.657,-58,7.17,0.872,-67,1,7
2.516,2.439,-61,6.623,1.622,-61,7.092,0.951,-67,1,7
2.594,2.398,-61,6.858,1.55,-59,7.131,0.867,-67,1,7
2.594,2.383,-61,6.702,1.482,-61,7.17,0.979,-67,1,7
2.75,2.38,-56,6.624,1.526,-60,7.248,0.766,-66,1,7
2.633,2.211,-61,6.545,1.573,-58,7.249,0.892,-67,1,7
2.516,2.436,-61,6.584,1.698,-58,7.209,0.928,-67,1,7
2.672,2.282,-61,6.584,1.626,-57,7.248,0.792,-67,1,7
2.662,2.184,-61,6.584,1.598,-60,7.248,0.951,-67,1,7
2.711,2.384,-61,6.623,1.551,-61,7.209,0.971,-67,1,7
2.594,2.426,-61,6.545,1.63,-59,7.17,0.962,-67,1,7
2.672,2.392,-61,6.545,1.618,-58,7.17,1.013,-67,1,7
2.555,2.418,-61,6.506,1.735,-58,7.17,0.846,-67,1,7
2.594,2.317,-61,6.663,1.559,-60,7.209,0.991,-67,1,7
2.789,2.012,-61,6.623,1.552,-59,7.092,0.924,-67,1,7
2.633,2.338,-61,6.623,1.564,-58,7.248,0.998,-67,1,7
2.711,2.34,-61,6.584,1.672,-58,7.17,1.012,-67,1,7
2.672,2.23,-61,6.584,1.582,-59,7.131,0.855,-67,1,7
2.633,2.423,-61,6.624,1.671,-58,7.248,0.828,-67,1,7
2.672,2.374,-61,6.819,1.624,-58,7.17,0.94,-67,1,7
2.633,2.265,-61,6.702,1.626,-60,7.17,0.925,-67,1,7
2.633,2.236,-61,6.545,1.63,-60,7.209,0.945,-67,1,7
2.633,2.282,-61,6.584,1.599,-58,7.092,1.017,-67,1,7
2.516,2.468,-61,6.663,1.617,-59,7.17,0.815,-67,1,7
2.662,2.197,-60,6.506,1.727,-59,7.092,0.98,-66,1,7
2.594,2.162,-56,6.545,1.558,-60,7.209,0.975,-67,1,7
2.672,2.316,-61,6.741,1.479,-58,7.248,0.873,-67,1,7
2.711,2.03,-61,6.584,1.626,-58,7.209,0.924,-67,1,7
2.789,1.853,-60,6.663,1.589,-58,7.131,1.007,-67,1,7
2.711,2.252,-61,6.623,1.625,-60,7.209,0.783,-67,1,7
2.574,2.426,-61,6.623,1.622,-59,7.17,0.8,-67,1,7
3.467,2.026,-55,6.584,1.599,-59,7.17,0.841,-67,1,7
2.672,2.244,-61,6.545,1.706,-58,7.131,0.876,-67,1,7
2.711,1.733,-60,6.663,1.589,-59,7.209,0.89,-67,1,7
2.672,2.093,-61,6.545,1.602,-59,7.131,1.007,-67,1,7
2.711,2.4,-61,6.663,1.573,-60,7.17,0.829,-67,1,7
2.672,2.248,-61,6.584,1.654,-58,7.092,0.917,-67,1,7
2.633,2.366,-61,6.702,1.554,-59,7.288,0.992,-67,1,7
2.633,2.364,-61,6.584,1.627,-59,7.131,0.984,-67,1,7
2.721,2.139,-61,6.506,1.68,-58,7.131,1.015,-67,1,7
2.672,2.275,-61,6.584,1.611,-59,7.131,0.931,-67,1,7
2.555,2.49,-61,6.584,1.582,-59,7.131,1.019,-67,1,7
2.75,2.37,-61,6.545,1.648,-59,7.131,1.006,-67,1,7
2.594,2.444,-61,6.78,1.518,-60,7.17,0.976,-67,1,7
2.672,2.267,-61,6.702,1.553,-59,7.17,0.805,-67,1,7
2.555,2.248,-61,6.623,1.607,-59,7.17,0.938,-67,1,7
2.711,2.264,-61,6.545,1.589,-60,7.209,0.946,-66,1,7
2.672,2.39,-61,6.584,1.668,-59,7.248,0.766,-67,1,7
2.672,1.627,-61,6.624,1.564,-59,7.17,0.936,-67,1,7
2.75,1.195,-60,6.623,1.581,-59,7.131,0.988,-67,1,7
2.633,2.009,-61,6.584,1.628,-58,7.209,0.984,-67,1,7
2.828,2.099,-61,6.584,1.639,-59,7.248,0.954,-67,1,7
2.633,2.193,-61,6.545,1.677,-58,7.092,1.012,-67,1,7
2.555,2.245,-61,6.663,1.663,-58,7.17,1.024,-67,1,7
2.867,2.118,-61,6.584,1.659,-60,7.131,1.009,-66,1,7
2.711,1.955,-60,6.624,1.609,-59,7.209,0.945,-67,1,7
2.828,2.176,-61,6.545,1.732,-57,7.209,0.828,-66,1,7
2.594,2.246,-60,6.545,1.542,-59,7.17,1.036,-67,1,7
2.594,2.226,-61,6.819,1.457,-60,7.092,0.963,-67,1,7
2.828,2.031,-61,6.78,1.546,-58,7.248,0.892,-67,1,7
2.555,2.315,-61,6.702,1.614,-58,7.209,0.851,-67,1,7
2.828,2.154,-56,6.584,1.585,-57,7.131,0.958,-67,1,7
2.672,2.231,-60,6.623,1.527,-58,7.17,0.999,-67,1,7
2.672,2.19,-60,6.741,1.52,-60,7.209,0.88,-67,1,7
2.867,2.137,-60,6.624,1.65,-59,7.17,0.945,-67,1,7
2.75,2.321,-60,6.584,1.599,-61,7.17,0.847,-67,1,7
2.828,1.971,-61,6.624,1.592,-59,7.248,0.872,-67,1,7
2.711,2.08,-60,6.584,1.628,-59,7.17,0.98,-67,1,7
2.476,2.371,-61,6.623,1.621,-58,7.131,0.907,-66,1,7
2.789,2.155,-61,6.623,1.551,-58,7.288,0.916,-67,1,7
2.516,2.481,-61,6.584,1.626,-59,7.17,1.015,-67,1,7
2.594,2.307,-60,6.623,1.598,-59,7.092,0.954,-67,1,7
2.711,2.414,-56,6.584,1.654,-58,7.092,0.951,-67,1,7
2.476,2.354,-61,6.78,1.515,-58,7.248,0.91,-67,1,7
2.75,2.209,-61,6.663,1.62,-58,7.131,0.941,-67,1,7
2.672,2.298,-61,6.584,1.67,-58,7.248,0.974,-67,1,7
2.789,2.123,-56,6.623,1.65,-57,7.209,1,-66,1,7
2.75,2.005,-61,6.623,1.639,-58,7.248,1.011,-67,1,7
2.477,2.515,-60,6.858,1.493,-58,7.209,0.768,-67,1,7
2.594,2.316,-60,6.936,1.394,-59,7.17,0.924,-67,1,7
2.516,2.48,-61,6.936,1.384,-59,7.209,0.98,-67,1,7
2.516,2.495,-61,6.467,1.654,-59,7.131,1.079,-67,1,7
2.633,2.321,-61,6.663,1.572,-59,7.209,0.813,-67,1,7
3.077,2.28,-56,6.584,1.658,-59,7.209,0.968,-67,1,7
2.555,2.142,-61,6.663,1.618,-58,7.248,1.046,-67,1,7
3.506,2.032,-56,6.741,1.551,-58,7.17,0.838,-67,1,7
2.633,2.395,-61,6.702,1.583,-58,7.092,0.989,-67,1,7
2.711,2.329,-61,6.819,1.51,-58,7.288,0.925,-66,1,7
2.594,2.265,-61,6.741,1.597,-58,7.131,0.976,-67,1,7
2.711,2.398,-61,6.624,1.636,-58,7.248,0.75,-66,1,7
2.594,2.443,-56,6.702,1.582,-58,7.248,0.901,-67,1,7
2.594,2.472,-61,6.623,1.665,-61,7.17,0.986,-67,1,7
2.633,2.298,-61,6.545,1.733,-60,7.209,0.801,-67,1,7
2.789,2.175,-61,6.584,1.655,-59,7.17,0.792,-67,1,7
2.633,2.395,-61,6.623,1.668,-58,7.288,1.015,-67,1,7
2.555,2.287,-61,6.545,1.661,-60,7.092,0.955,-67,1,7
2.789,2.154,-61,6.623,1.666,-60,7.287,0.881,-67,1,7
2.789,2.12,-61,6.506,1.65,-58,7.17,0.971,-67,1,7
2.633,2.423,-61,6.663,1.632,-58,7.17,0.966,-67,1,7
2.594,2.317,-61,6.506,1.723,-60,7.092,0.964,-67,1,7
2.672,2.144,-61,6.467,1.742,-58,7.17,0.911,-67,1,7
2.555,1.972,-61,6.506,1.724,-58,7.288,1.009,-66,1,7
2.633,2.163,-61,6.584,1.642,-59,7.17,0.946,-67,1,7
2.633,2.109,-61,6.506,1.693,-61,7.17,0.985,-66,1,7
2.594,1.738,-61,6.506,1.666,-60,7.209,1.053,-67,1,7
2.594,1.303,-61,6.506,1.651,-60,7.092,0.92,-67,1,7
2.604,1.145,-61,6.702,1.6,-60,7.092,1.038,-67,1,7
2.672,2.083,-61,6.663,1.579,-61,7.209,1.009,-67,1,7
2.594,2.283,-61,6.623,1.622,-60,7.209,0.961,-67,1,7
2.555,1.37,-61,6.584,1.654,-60,7.248,0.992,-67,1,7
2.555,1.321,-61,6.545,1.674,-60,7.209,1.041,-67,1,7
