AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
5.328,1.589,-53,2.834,0.221,-60,10.803,0.179,-66,1,4
3.492,1.423,-49,3.147,0.106,-61,6.936,2.57,-66,1,4
4.391,0.317,-56,3.01,0.085,-59,7.053,2.074,-67,1,4
4.781,0.396,-56,2.873,0.241,-60,11.194,0.279,-65,1,4
5.484,0.694,-55,2.922,0.192,-59,6.663,2.239,-69,1,4
4.273,0.671,-57,2.873,0.223,-59,11.213,0.202,-67,1,4
5.006,1.208,-57,2.834,0.196,-58,7.131,2.039,-66,1,4
5.094,0.15,-55,2.913,0.265,-59,11.077,0.315,-66,1,4
5.064,0.379,-57,2.873,0.248,-57,10.012,1.005,-65,1,4
5.035,0.098,-56,2.717,0.338,-60,8.547,1.354,-66,1,4
5.504,0.088,-57,2.756,0.304,-58,8.606,1.434,-62,1,4
5.523,0.205,-57,2.6,0.239,-59,11.155,0.108,-67,1,4
5.445,0.177,-57,2.717,0.265,-60,9.983,1.049,-65,1,4
5.269,0.454,-57,2.717,0.232,-60,10.422,0.997,-64,1,4
5.123,0.743,-57,2.522,0.446,-57,8.147,2.127,-65,1,4
5.006,0.876,-57,2.952,0.098,-59,10.334,1.05,-66,1,4
5.152,0.503,-57,3.147,0.182,-58,9.778,1.361,-68,1,4
5.504,0.353,-57,3.303,0.732,-60,10.071,1.215,-66,1,4
5.445,0.25,-57,3.537,0.445,-63,11.155,0.229,-68,1,4
5.328,0.271,-57,2.795,0.954,-62,10.627,1.006,-67,1,4
5.123,0.24,-59,3.225,0.696,-59,11.096,0.21,-66,1,4
4.918,0.178,-60,3.85,0.231,-66,9.866,1.307,-66,1,4
5.24,0.307,-57,2.913,0.594,-65,11.301,0.109,-66,1,4
5.24,0.409,-58,2.913,0.547,-63,10.51,1.007,-67,1,4
5.064,0.166,-58,2.913,0.179,-62,11.067,0.177,-67,1,4
5.094,0.235,-58,2.717,0.484,-65,10.539,1.062,-67,1,4
