AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.039,0.657,-54,7.405,0.716,-67,5.793,0.364,-62,5,7,7,9,7,0,0,9
3.951,0.472,-54,8.577,1.106,-70,5.852,0.427,-66,5,7,7,9,7,0,0,9
4.039,0.68,-54,7.092,0.433,-62,5.881,0.53,-68,5,7,7,9,7,0,0,9
4.068,0.451,-54,10.071,0.577,-65,5.852,0.375,-67,5,7,7,9,7,0,0,9
4.391,0.322,-54,7.913,1.922,-64,5.412,0.786,-66,5,7,7,9,7,0,0,9
4.195,0.481,-54,8.079,0.494,-65,5.764,0.613,-62,5,7,7,9,7,0,0,9
4.469,0.907,-54,6.506,0.702,-64,5.881,1.338,-67,5,7,7,9,7,0,0,9
4.742,0.334,-54,8.967,0.266,-63,5.881,0.385,-64,5,7,7,9,7,0,0,9
4.547,0.377,-54,11.038,1.208,-64,5.998,0.165,-65,5,7,7,9,7,0,0,9
4.859,0.291,-54,7.61,0.529,-62,5.92,0.083,-64,5,7,7,9,7,0,0,9
4.703,0.855,-54,10.881,1.98,-64,5.706,0.691,-74,5,7,7,9,7,0,0,9
4.469,0.4,-54,7.873,1.684,-65,6.057,0.266,-60,5,7,7,9,7,0,0,9
4.351,0.062,-54,8.137,1.173,-63,6.204,0.723,-60,5,7,7,9,7,0,0,9
3.922,0.872,-54,8.108,1.529,-64,5.881,1.065,-61,5,7,7,9,7,0,0,9
3.453,1.291,-54,6.819,0.603,-62,5.735,1.621,-68,5,7,7,9,7,0,0,9
4.547,0.324,-49,10.881,0.334,-64,5.764,0.687,-67,5,7,7,9,7,0,0,9
4.717,0.439,-54,7.873,2.013,-63,5.412,0.863,-65,5,7,7,9,7,0,0,9
3.961,0.884,-54,7.932,1.499,-63,5.647,0.565,-69,5,7,7,9,7,0,0,9
4,0.709,-54,7.639,1.857,-63,6.174,0.458,-65,5,7,7,9,7,0,0,9
3.805,0.874,-54,8.401,1.629,-64,6.116,0.472,-64,5,7,7,9,7,0,0,9
4.078,0.828,-54,8.664,1.202,-62,5.852,1.315,-62,5,7,7,9,7,0,0,9
3.883,0.792,-54,8.049,2.085,-64,6.204,0.249,-60,5,7,7,9,7,0,0,9
4.156,0.622,-54,7.698,1.619,-64,5.998,0.432,-65,5,7,7,9,7,0,0,9
4.117,0.703,-54,12.014,0.241,-65,5.911,1.071,-63,5,7,7,9,7,0,0,9
3.883,0.936,-54,9.25,1.464,-65,5.969,1.061,-61,5,7,7,9,7,0,0,9
