AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
8.873,0.223,-56,5.881,1.206,-62,7.024,0.714,-72,2,3,7,9,7,0,0,9
7.984,1.081,-57,5.803,1.781,-63,7.405,0.207,-74,2,3,7,9,7,0,0,9
7.594,0.459,-57,5.881,0.333,-61,8.264,0.115,-73,2,3,7,9,7,0,0,9
7.438,0.574,-57,5.803,0.259,-61,8.42,0.118,-76,2,3,7,9,7,0,0,9
7.516,0.516,-57,5.686,0.123,-62,8.108,0.154,-74,2,3,7,9,7,0,0,9
7.438,1.517,-59,5.803,2.107,-63,8.342,0.212,-75,2,3,7,9,7,0,0,9
7.398,1.67,-58,5.686,1.625,-63,8.342,0.042,-75,2,3,7,9,7,0,0,9
7.242,1.452,-56,5.686,0.424,-63,9.866,0.286,-75,2,3,7,9,7,0,0,9
7.477,1.055,-54,5.725,0.293,-63,8.655,0.225,-69,2,3,7,9,7,0,0,9
7.555,1.62,-58,5.725,0.405,-61,7.493,0.231,-75,2,3,7,9,7,0,0,9
8.375,0.306,-59,11.887,0.154,-61,7.375,1.436,-74,2,3,7,9,7,0,0,9
7.945,0.138,-62,5.764,2.455,-62,7.561,0.103,-72,2,3,7,9,7,0,0,9
7.994,1.984,-64,5.764,2.381,-61,6.907,0.819,-75,2,3,7,9,7,0,0,9
8.258,0.858,-59,5.764,1.717,-61,7.678,0.108,-72,2,3,7,9,7,0,0,9
8.346,0.981,-53,5.764,1.642,-61,7.786,0.728,-72,2,3,7,9,7,0,0,9
8.902,1.309,-59,5.725,1.799,-61,8.43,0.372,-74,2,3,7,9,7,0,0,9
8.316,0.745,-56,5.803,2.019,-62,8.108,0.859,-76,2,3,7,9,7,0,0,9
9.859,1.307,-60,5.842,1.815,-61,7.961,0.331,-75,2,3,7,9,7,0,0,9
7.203,1.248,-59,5.92,0.31,-62,8.108,0.249,-74,2,3,7,9,7,0,0,9
7.097,2.154,-54,5.764,0.256,-63,7.961,0.152,-75,2,3,7,9,7,0,0,9
9.283,1.348,-62,5.842,2.239,-58,8.079,0.205,-74,2,3,7,9,7,0,0,9
9.17,0.957,-58,5.725,0.39,-62,8.069,0.323,-75,2,3,7,9,7,0,0,9
9.781,0.233,-60,5.842,2.17,-63,8.342,0.181,-73,2,3,7,9,7,0,0,9
9.616,0.449,-57,5.608,2.108,-62,8.196,0.212,-76,2,3,7,9,7,0,0,9
9.781,0.612,-56,5.803,1.296,-61,8.225,0.387,-75,2,3,7,9,7,0,0,9
9.049,0.702,-63,5.842,1.778,-62,7.756,0.387,-73,2,3,7,9,7,0,0,9
8.844,0.719,-61,5.92,0.46,-62,7.815,0.254,-76,2,3,7,9,7,0,0,9
9.195,0.627,-60,5.803,0.517,-64,7.952,0.185,-73,2,3,7,9,7,0,0,9
7.516,1.012,-59,5.803,0.324,-63,7.561,0.394,-75,2,3,7,9,7,0,0,9
9.664,0.293,-60,5.959,0.359,-63,8.254,0.064,-77,2,3,7,9,7,0,0,9
