AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
9.43,0.212,-49,7.961,1.168,-65,7.248,0.515,-65,1,3,7,9,7,0,0,9
9.547,0.131,-58,6.496,1.811,-64,7.17,0.611,-65,1,3,7,9,7,0,0,9
9.225,0.095,-56,7.141,1.546,-64,7.014,1.205,-64,1,3,7,9,7,0,0,9
8.922,0.295,-53,7.082,1.709,-64,7.053,0.086,-67,1,3,7,9,7,0,0,9
9.254,1.58,-57,7.405,1.476,-64,6.467,0.355,-69,1,3,7,9,7,0,0,9
9.234,0.78,-55,7.903,1.372,-64,7.17,0.692,-66,1,3,7,9,7,0,0,9
9.225,1.65,-54,9.514,0.508,-64,6.145,0.59,-65,1,3,7,9,7,0,0,9
9.469,0.135,-54,6.789,1.745,-64,7.209,0.816,-63,1,3,7,9,7,0,0,9
9.166,0.644,-55,7.375,1.47,-63,7.248,0.546,-62,1,3,7,9,7,0,0,9
9.704,0.581,-50,10.188,0.165,-64,7.327,0.6,-62,1,3,7,9,7,0,0,9
9.704,0.548,-52,9.895,0.208,-61,6.116,0.584,-61,1,3,7,9,7,0,0,9
9.195,0.18,-55,9.866,0.26,-63,6.057,0.668,-61,1,3,7,9,7,0,0,9
9.391,0.36,-49,9.338,0.438,-64,7.366,0.56,-61,1,3,7,9,7,0,0,9
9.488,1.363,-54,7.932,0.581,-64,7.248,0.597,-61,1,3,7,9,7,0,0,9
9.43,0.227,-54,6.702,0.192,-64,7.248,0.553,-61,1,3,7,9,7,0,0,9
9.508,0.527,-55,7.141,1.408,-71,7.288,0.583,-61,1,3,7,9,7,0,0,9
9.469,0.115,-56,8.381,0.227,-66,7.522,0.547,-65,1,3,7,9,7,0,0,9
9.488,0.2,-55,10.608,0.368,-66,7.366,0.984,-65,1,3,7,9,7,0,0,9
9.547,0.114,-57,8.928,0.588,-63,5.647,0.764,-61,1,3,7,9,7,0,0,9
9.156,0.084,-56,9.338,0.565,-65,7.483,0.538,-64,1,3,7,9,7,0,0,9
9.43,2.189,-59,7.434,1.448,-63,6.858,0.681,-65,1,3,7,9,7,0,0,9
9.049,0.252,-55,7.434,1.5,-62,6.858,0.545,-64,1,3,7,9,7,0,0,9
9.635,1.407,-56,10.452,1.105,-62,6.116,0.957,-66,1,3,7,9,7,0,0,9
9.664,0.518,-52,7.2,1.786,-64,7.092,0.415,-66,1,3,7,9,7,0,0,9
9.273,0.238,-59,7.493,1.755,-64,7.248,0.339,-65,1,3,7,9,7,0,0,9
9.547,0.134,-59,7.141,1.813,-63,7.288,0.279,-66,1,3,7,9,7,0,0,9
9.625,0.129,-58,9.602,0.545,-65,7.014,0.474,-65,1,3,7,9,7,0,0,9
9.039,0.296,-56,9.573,0.583,-64,7.209,0.38,-65,1,3,7,9,7,0,0,9
9.576,1.36,-55,10.608,0.211,-62,7.209,1.454,-58,1,3,7,9,7,0,0,9
9.488,1.385,-52,9.69,0.511,-63,7.327,0.312,-66,1,3,7,9,7,0,0,9
9.606,1.461,-58,9.045,0.804,-65,7.288,0.306,-67,1,3,7,9,7,0,0,9
9.606,1.421,-61,10.725,0.786,-65,7.131,0.441,-65,1,3,7,9,7,0,0,9
9.342,0.419,-55,10.393,0.669,-64,7.248,0.356,-64,1,3,7,9,7,0,0,9
9.547,1.047,-61,8.957,0.854,-64,7.17,0.408,-65,1,3,7,9,7,0,0,9
9.391,0.181,-60,9.221,0.619,-64,7.17,0.435,-64,1,3,7,9,7,0,0,9
8.922,0.269,-57,9.133,0.756,-64,7.405,0.3,-66,1,3,7,9,7,0,0,9
9.342,0.176,-60,9.631,0.692,-64,7.248,0.361,-66,1,3,7,9,7,0,0,9
9,0.312,-56,9.602,0.474,-64,7.327,0.274,-65,1,3,7,9,7,0,0,9
8.961,0.257,-59,9.543,0.537,-64,7.17,0.381,-65,1,3,7,9,7,0,0,9
