AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
11.734,0.141,-58,5.686,1.068,-64,9.397,1.372,-70,2,1,7,9,7,0,0,9
10.602,0.727,-54,5.413,0.583,-60,12.327,1.563,-77,2,1,7,9,7,0,0,9
10.25,0.426,-57,4.592,0.53,-62,9.983,1.185,-70,2,1,7,9,7,0,0,9
10.261,0.676,-55,5.608,2.05,-61,10.364,1.053,-77,2,1,7,9,7,0,0,9
11.045,1.598,-57,4.797,0.523,-65,12.444,1.002,-78,2,1,7,9,7,0,0,9
10.759,1.159,-58,5.032,0.202,-55,8.303,0.903,-75,2,1,7,9,7,0,0,9
10.484,1.367,-57,5.217,1.168,-64,8.342,2.129,-75,2,1,7,9,7,0,0,9
10.66,1.018,-58,5.842,0.925,-63,9.104,1.836,-75,2,1,7,9,7,0,0,9
10.934,1.5,-54,4.768,0.407,-67,10.071,2.271,-76,2,1,7,9,7,0,0,9
10.748,0.531,-55,4.182,0.876,-69,11.155,2.224,-72,2,1,7,9,7,0,0,9
10.133,1.089,-60,4.563,0.701,-60,8.538,1.986,-69,2,1,7,9,7,0,0,9
11.393,0.541,-59,5.842,1.066,-66,9.514,1.718,-68,2,1,7,9,7,0,0,9
11.187,1.204,-64,5.803,1.216,-65,9.163,1.53,-71,2,1,7,9,7,0,0,9
9.312,1.105,-59,5.959,1.313,-65,8.108,0.987,-68,2,1,7,9,7,0,0,9
11.568,0.75,-60,6.116,1.047,-64,7.678,1.158,-69,2,1,7,9,7,0,0,9
11.422,0.489,-58,6.077,1.067,-65,7.493,0.168,-70,2,1,7,9,7,0,0,9
11.305,0.463,-59,6.037,1.044,-64,7.991,1.091,-72,2,1,7,9,7,0,0,9
10.68,0.506,-60,6.155,1.037,-64,7.795,2.331,-73,2,1,7,9,7,0,0,9
11.481,0.78,-60,6.194,1.383,-65,10.041,0.747,-70,2,1,7,9,7,0,0,9
11.275,0.875,-60,6.077,1.263,-67,10.129,0.744,-70,2,1,7,9,7,0,0,9
11.686,1.05,-60,6.194,1.645,-67,10.159,0.804,-70,2,1,7,9,7,0,0,9
11.725,0.835,-56,6.194,1.948,-67,7.952,1.342,-72,2,1,7,9,7,0,0,9
11.313,1.352,-58,6.272,2.216,-63,7.756,1.477,-72,2,1,7,9,7,0,0,9
11.217,1.263,-60,6.233,0.922,-66,10.686,0.631,-76,2,1,7,9,7,0,0,9
11.51,1.609,-56,6.116,0.978,-68,8.225,0.408,-70,2,1,7,9,7,0,0,9
11.725,1.041,-56,6.116,1.026,-65,7.991,0.702,-70,2,1,7,9,7,0,0,9
11.334,1.501,-55,6.116,1.003,-66,9.602,1.294,-69,2,1,7,9,7,0,0,9
11.334,1.219,-60,5.959,1.334,-66,8.928,0.317,-68,2,1,7,9,7,0,0,9
11.715,1.212,-60,5.959,1.13,-66,9.123,0.729,-68,2,1,7,9,7,0,0,9
11.627,0.374,-60,4.446,0.725,-66,9.075,1.036,-69,2,1,7,9,7,0,0,9
11.539,0.249,-61,4.534,0.668,-64,8.342,0.745,-68,2,1,7,9,7,0,0,9
11.246,1.214,-61,4.475,0.676,-64,8.186,0.588,-71,2,1,7,9,7,0,0,9
11.129,0.555,-61,5.471,1.122,-64,9.436,0.862,-68,2,1,7,9,7,0,0,9
11.187,0.32,-60,5.842,1.137,-65,9.309,0.748,-69,2,1,7,9,7,0,0,9
11.187,0.412,-60,5.998,1.033,-66,8.733,0.466,-68,2,1,7,9,7,0,0,9
11.422,0.39,-60,5.92,0.871,-66,8.303,0.411,-69,2,1,7,9,7,0,0,9
11.188,0.59,-60,6.077,0.844,-66,8.186,0.53,-69,2,1,7,9,7,0,0,9
11.481,0.994,-60,6.037,0.928,-66,8.264,0.67,-69,2,1,7,9,7,0,0,9
11.246,0.578,-60,6.037,0.881,-65,8.186,0.694,-69,2,1,7,9,7,0,0,9
11.246,0.397,-60,6.077,1.057,-65,8.264,0.593,-69,2,1,7,9,7,0,0,9
11.129,0.555,-60,5.92,0.883,-66,8.342,0.525,-69,2,1,7,9,7,0,0,9
11.451,0.433,-56,5.998,1.207,-64,8.264,0.6,-69,2,1,7,9,7,0,0,9
11.96,0.778,-57,4.797,0.528,-65,9.367,0.937,-70,2,1,7,9,7,0,0,9
11.363,0.489,-60,4.827,0.496,-64,9.485,0.877,-69,2,1,7,9,7,0,0,9
11.217,0.574,-61,4.739,0.559,-64,9.338,0.851,-69,2,1,7,9,7,0,0,9
11.518,0.891,-58,4.416,0.759,-65,7.952,0.799,-69,2,1,7,9,7,0,0,9
11.48,0.322,-57,5.92,1.233,-65,8.147,0.698,-69,2,1,7,9,7,0,0,9
11.363,0.423,-61,5.92,1.157,-65,9.367,0.741,-69,2,1,7,9,7,0,0,9
11.363,0.404,-60,5.959,0.958,-66,9.162,1.029,-69,2,1,7,9,7,0,0,9
11.334,0.478,-60,5.998,0.894,-66,9.28,0.999,-68,2,1,7,9,7,0,0,9
11.363,0.516,-60,6.037,0.771,-66,8.186,0.534,-68,2,1,7,9,7,0,0,9
11.305,0.478,-61,6.037,1.164,-65,9.309,0.905,-68,2,1,7,9,7,0,0,9
11.284,0.45,-60,5.959,0.998,-66,8.538,0.466,-68,2,1,7,9,7,0,0,9
