AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
5.709,0.725,-55,7.561,0.151,-58,3.655,0.748,-58,3,6,7,9,7,0,0,9
5.339,1.116,-50,7.053,0.27,-56,3.616,1.118,-57,3,6,7,9,7,0,0,9
6.324,0.299,-62,7.17,0.085,-56,3.694,1.202,-58,3,6,7,9,7,0,0,9
5.152,2.044,-60,6.858,0.199,-57,3.733,0.887,-61,3,6,7,9,7,0,0,9
5.368,1.245,-53,7.053,0.241,-59,3.577,0.801,-58,3,6,7,9,7,0,0,9
5.709,0.78,-56,7.092,0.227,-57,3.537,0.888,-58,3,6,7,9,7,0,0,9
5.504,1.335,-57,6.936,0.391,-55,3.616,0.791,-59,3,6,7,9,7,0,0,9
5.914,0.813,-55,6.975,0.365,-55,3.577,0.722,-58,3,6,7,9,7,0,0,9
5.563,1.105,-56,7.092,0.223,-56,3.655,0.728,-59,3,6,7,9,7,0,0,9
5.357,1.283,-56,6.936,0.262,-55,3.498,0.936,-58,3,6,7,9,7,0,0,9
5.485,1.246,-56,6.858,0.384,-56,3.616,0.792,-58,3,6,7,9,7,0,0,9
5.621,1.08,-50,6.897,0.325,-56,3.577,0.888,-57,3,6,7,9,7,0,0,9
5.427,1.322,-52,6.936,0.297,-56,3.577,0.854,-58,3,6,7,9,7,0,0,9
5.65,1.074,-55,6.897,0.294,-56,3.498,0.763,-58,3,6,7,9,7,0,0,9
5.778,1.111,-56,6.897,0.29,-55,3.577,0.806,-58,3,6,7,9,7,0,0,9
5.621,1.193,-55,6.975,0.323,-56,3.577,0.765,-59,3,6,7,9,7,0,0,9
5.65,1.239,-55,6.936,0.286,-56,3.537,0.796,-58,3,6,7,9,7,0,0,9
5.65,1.145,-56,6.897,0.331,-56,3.459,0.837,-58,3,6,7,9,7,0,0,9
5.475,1.194,-56,7.014,0.332,-56,3.537,0.817,-58,3,6,7,9,7,0,0,9
5.68,1.153,-55,6.936,0.358,-56,3.538,0.839,-58,3,6,7,9,7,0,0,9
5.68,1.084,-55,7.014,0.288,-56,3.616,0.781,-58,3,6,7,9,7,0,0,9
5.416,1.319,-52,6.975,0.304,-56,3.537,0.759,-59,3,6,7,9,7,0,0,9
5.807,0.829,-52,7.014,0.246,-56,3.537,0.787,-58,3,6,7,9,7,0,0,9
5.475,0.857,-52,6.897,0.34,-56,3.616,0.795,-58,3,6,7,9,7,0,0,9
5.592,1.062,-52,6.936,0.347,-56,3.459,0.809,-58,3,6,7,9,7,0,0,9
5.65,1.313,-56,6.975,0.326,-57,3.655,0.757,-58,3,6,7,9,7,0,0,9
5.221,1.462,-55,6.936,0.297,-56,3.459,0.837,-58,3,6,7,9,7,0,0,9
5.68,1.518,-56,6.858,0.314,-57,3.498,0.826,-58,3,6,7,9,7,0,0,9
5.68,1.336,-55,6.975,0.29,-57,3.537,0.817,-58,3,6,7,9,7,0,0,9
5.738,1.222,-52,7.014,0.301,-57,3.616,0.774,-58,3,6,7,9,7,0,0,9
5.797,0.936,-55,6.975,0.338,-57,3.577,0.756,-58,3,6,7,9,7,0,0,9
5.709,0.803,-56,7.014,0.247,-56,3.537,0.865,-58,3,6,7,9,7,0,0,9
5.563,0.977,-57,6.975,0.298,-56,3.537,0.792,-58,3,6,7,9,7,0,0,9
5.163,1.531,-56,7.053,0.278,-56,3.538,0.792,-58,3,6,7,9,7,0,0,9
5.709,1.305,-56,7.014,0.313,-56,3.538,0.817,-58,3,6,7,9,7,0,0,9
5.592,1.283,-56,7.053,0.313,-56,3.577,0.801,-58,3,6,7,9,7,0,0,9
5.826,1.071,-56,7.053,0.319,-57,3.498,0.792,-58,3,6,7,9,7,0,0,9
5.68,1.261,-56,7.014,0.314,-56,3.616,0.748,-58,3,6,7,9,7,0,0,9
5.768,1.315,-52,7.014,0.305,-57,3.537,0.805,-58,3,6,7,9,7,0,0,9
5.592,1.112,-56,6.975,0.338,-56,3.616,0.795,-58,3,6,7,9,7,0,0,9
5.709,1.075,-55,6.975,0.305,-57,3.577,0.811,-58,3,6,7,9,7,0,0,9
5.445,1.205,-56,6.936,0.351,-57,3.538,0.805,-58,3,6,7,9,7,0,0,9
5.709,0.942,-55,6.975,0.297,-56,3.616,0.705,-58,3,6,7,9,7,0,0,9
5.65,0.996,-55,6.936,0.335,-56,3.537,0.832,-58,3,6,7,9,7,0,0,9
5.533,1.369,-51,6.975,0.308,-57,3.459,0.882,-58,3,6,7,9,7,0,0,9
5.65,1.178,-51,6.858,0.374,-57,3.694,0.713,-58,3,6,7,9,7,0,0,9
5.797,1.36,-55,7.014,0.325,-57,3.616,0.806,-58,3,6,7,9,7,0,0,9
5.914,0.759,-55,6.975,0.344,-57,3.577,0.796,-58,3,6,7,9,7,0,0,9
