AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.01,0.258,-50,8.606,1.656,-57,4.241,0.43,-54,4,8,7,9,7,0,0,9
3.063,0.538,-49,8.635,1.753,-57,4.827,0.237,-52,4,8,7,9,7,0,0,9
2.203,0.787,-51,8.752,1.658,-59,4.788,0.208,-54,4,8,7,9,7,0,0,9
3.658,1.172,-49,8.694,1.587,-60,4.358,0.328,-52,4,8,7,9,7,0,0,9
3.717,0.743,-47,8.635,1.754,-59,4.358,0.411,-52,4,8,7,9,7,0,0,9
3.063,0.401,-49,8.694,1.629,-58,4.436,0.405,-52,4,8,7,9,7,0,0,9
3.424,0.106,-48,8.811,1.293,-58,4.67,0.263,-54,4,8,7,9,7,0,0,9
3.658,1.815,-49,8.782,0.179,-57,4.788,0.184,-53,4,8,7,9,7,0,0,9
3.727,1.137,-50,8.694,1.723,-58,4.631,0.322,-52,4,8,7,9,7,0,0,9
2.867,0.602,-49,8.782,1.698,-58,4.553,0.33,-52,4,8,7,9,7,0,0,9
2.574,0.677,-50,8.723,1.571,-59,4.709,0.307,-52,4,8,7,9,7,0,0,9
2.945,0.487,-49,8.664,1.563,-59,4.397,0.393,-52,4,8,7,9,7,0,0,9
2.828,0.475,-50,8.606,1.791,-58,4.436,0.363,-53,4,8,7,9,7,0,0,9
3.874,0.453,-45,8.664,1.738,-58,4.514,0.397,-52,4,8,7,9,7,0,0,9
3.775,1.122,-49,8.723,1.731,-58,4.436,0.41,-53,4,8,7,9,7,0,0,9
2.217,1.271,-45,8.723,1.671,-58,4.397,0.403,-52,4,8,7,9,7,0,0,9
3.6,0.936,-44,8.752,1.576,-58,4.592,0.322,-53,4,8,7,9,7,0,0,9
3.775,0.737,-51,8.723,1.726,-58,4.553,0.306,-52,4,8,7,9,7,0,0,9
3.805,1.086,-50,8.723,1.829,-58,4.592,0.334,-52,4,8,7,9,7,0,0,9
3.609,0.176,-50,8.811,1.586,-57,4.592,0.34,-52,4,8,7,9,7,0,0,9
