AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.899,0.871,-54,4.983,0.959,-60,6.702,2.224,-67,4,4,7,9,7,0,0,9
5.006,0.754,-58,4.866,1.013,-60,6.819,2.091,-67,4,4,7,9,7,0,0,9
4.947,0.792,-58,4.944,0.967,-59,6.819,2.149,-67,4,4,7,9,7,0,0,9
5.123,0.646,-59,4.944,0.995,-60,6.789,2.068,-67,4,4,7,9,7,0,0,9
5.016,0.811,-59,5.139,0.847,-60,6.789,2.2,-67,4,4,7,9,7,0,0,9
4.889,0.803,-59,4.866,0.997,-60,6.819,2.148,-67,4,4,7,9,7,0,0,9
4.977,0.761,-59,4.983,0.902,-60,6.76,2.175,-67,4,4,7,9,7,0,0,9
4.889,0.86,-59,4.944,0.918,-60,6.672,2.104,-67,4,4,7,9,7,0,0,9
4.977,0.721,-59,4.983,0.911,-60,6.526,2.274,-68,4,4,7,9,7,0,0,9
5.182,0.599,-59,4.866,0.999,-60,6.526,2.079,-68,4,4,7,9,7,0,0,9
4.918,0.867,-59,4.944,0.894,-61,6.555,2.143,-68,4,4,7,9,7,0,0,9
5.035,0.828,-59,4.905,0.924,-60,6.614,2.19,-67,4,4,7,9,7,0,0,9
5.035,0.771,-59,4.827,0.987,-61,6.526,2.275,-67,4,4,7,9,7,0,0,9
4.522,2.055,-55,4.905,0.94,-61,6.467,2.262,-67,4,4,7,9,7,0,0,9
5.035,0.846,-59,4.983,0.955,-60,6.555,2.222,-67,4,4,7,9,7,0,0,9
5.006,0.749,-59,4.905,0.969,-60,6.438,2.24,-67,4,4,7,9,7,0,0,9
4.947,0.828,-55,4.905,0.984,-60,6.555,2.2,-68,4,4,7,9,7,0,0,9
5.123,0.651,-59,4.983,0.911,-60,6.584,2.266,-67,4,4,7,9,7,0,0,9
5.006,2.621,-54,4.944,0.947,-60,6.614,2.152,-67,4,4,7,9,7,0,0,9
5.006,0.76,-59,4.944,0.947,-60,6.702,2.148,-67,4,4,7,9,7,0,0,9
5.134,0.627,-54,4.983,0.906,-60,6.614,2.229,-67,4,4,7,9,7,0,0,9
5.211,0.621,-58,4.944,0.967,-62,6.496,2.231,-67,4,4,7,9,7,0,0,9
5.094,1.266,-58,4.905,1.023,-60,6.526,2.274,-67,4,4,7,9,7,0,0,9
5.055,1.838,-59,4.944,0.974,-60,6.496,2.248,-67,4,4,7,9,7,0,0,9
4.947,0.837,-59,4.866,0.945,-62,6.496,2.288,-67,4,4,7,9,7,0,0,9
4.918,0.883,-59,4.866,0.999,-61,6.526,2.312,-67,4,4,7,9,7,0,0,9
5.035,0.774,-59,4.866,1.015,-61,6.467,2.243,-67,4,4,7,9,7,0,0,9
5.094,0.724,-59,4.983,0.939,-61,6.496,2.25,-67,4,4,7,9,7,0,0,9
5.123,0.768,-59,4.905,0.982,-61,6.496,2.209,-67,4,4,7,9,7,0,0,9
5.172,0.705,-59,4.905,0.996,-61,6.526,2.236,-68,4,4,7,9,7,0,0,9
4.977,0.782,-59,4.866,1.019,-61,6.555,2.18,-67,4,4,7,9,7,0,0,9
5.035,0.751,-59,4.905,0.954,-60,6.496,2.19,-68,4,4,7,9,7,0,0,9
4.918,0.92,-59,4.866,1.017,-61,6.438,2.184,-68,4,4,7,9,7,0,0,9
5.064,0.737,-59,4.983,0.911,-61,6.438,2.201,-68,4,4,7,9,7,0,0,9
5.035,0.81,-59,5.022,0.892,-61,6.467,2.168,-69,4,4,7,9,7,0,0,9
4.977,0.854,-58,4.905,0.954,-61,6.467,2.226,-68,4,4,7,9,7,0,0,9
5.035,0.672,-58,4.827,1.005,-61,6.497,2.211,-68,4,4,7,9,7,0,0,9
5.123,0.766,-58,4.905,0.999,-61,6.467,2.323,-68,4,4,7,9,7,0,0,9
5.123,0.785,-58,4.866,1.011,-60,6.584,2.148,-68,4,4,7,9,7,0,0,9
5.123,0.631,-58,4.827,0.989,-61,6.526,2.219,-68,4,4,7,9,7,0,0,9
5.094,0.604,-58,4.944,0.932,-60,6.526,2.236,-68,4,4,7,9,7,0,0,9
4.014,2.515,-54,4.827,1.003,-61,6.496,2.289,-68,4,4,7,9,7,0,0,9
5.006,0.835,-58,4.827,1.021,-61,6.496,2.27,-69,4,4,7,9,7,0,0,9
5.064,0.776,-58,4.866,0.988,-61,6.526,2.214,-68,4,4,7,9,7,0,0,9
3.78,2.868,-54,4.827,0.99,-61,6.467,2.244,-68,4,4,7,9,7,0,0,9
5.152,0.727,-58,4.748,1.001,-61,6.526,2.177,-68,4,4,7,9,7,0,0,9
5.064,0.776,-59,4.788,0.982,-61,6.614,2.17,-68,4,4,7,9,7,0,0,9
5.064,0.699,-59,4.788,1.008,-61,6.672,2.2,-68,4,4,7,9,7,0,0,9
4.918,0.828,-59,4.866,0.986,-61,6.555,2.278,-68,4,4,7,9,7,0,0,9
5.094,0.756,-59,4.709,1.034,-60,6.467,2.245,-69,4,4,7,9,7,0,0,9
4.947,0.839,-59,4.827,1.066,-61,6.467,2.282,-69,4,4,7,9,7,0,0,9
4.977,0.839,-59,4.866,0.973,-61,6.409,2.33,-68,4,4,7,9,7,0,0,9
5.094,0.769,-59,4.944,0.966,-61,6.497,2.209,-69,4,4,7,9,7,0,0,9
5.152,0.65,-58,4.866,0.971,-61,6.438,2.24,-69,4,4,7,9,7,0,0,9
4.918,0.944,-59,4.827,1.003,-60,6.555,2.221,-68,4,4,7,9,7,0,0,9
4.947,0.804,-58,4.788,0.998,-61,6.467,2.359,-68,4,4,7,9,7,0,0,9
4.977,0.826,-59,4.866,0.955,-60,6.584,2.283,-68,4,4,7,9,7,0,0,9
5.094,0.714,-59,4.827,0.984,-60,6.496,2.364,-68,4,4,7,9,7,0,0,9
4.977,0.932,-59,4.866,0.977,-60,6.467,2.263,-69,4,4,7,9,7,0,0,9
5.123,0.644,-59,4.827,0.989,-60,6.702,2.013,-68,4,4,7,9,7,0,0,9
5.006,0.819,-59,4.788,0.975,-61,6.496,2.157,-72,4,4,7,9,7,0,0,9
5.123,0.782,-59,4.944,0.959,-60,6.379,2.287,-70,4,4,7,9,7,0,0,9
4.918,0.89,-58,4.866,0.99,-60,6.526,2.024,-68,4,4,7,9,7,0,0,9
5.064,0.753,-58,4.866,0.941,-60,6.35,2.168,-68,4,4,7,9,7,0,0,9
5.035,0.805,-57,4.788,1.01,-61,6.409,2.331,-67,4,4,7,9,7,0,0,9
5.133,0.828,-58,4.788,0.994,-61,6.438,2.145,-70,4,4,7,9,7,0,0,9
5.035,0.886,-58,4.749,1.019,-61,6.438,2.279,-70,4,4,7,9,7,0,0,9
5.182,0.66,-58,4.905,0.938,-60,6.438,2.086,-71,4,4,7,9,7,0,0,9
5.094,0.691,-59,4.827,0.98,-61,6.438,2.143,-72,4,4,7,9,7,0,0,9
5.064,0.717,-58,4.905,0.943,-61,6.467,2.11,-69,4,4,7,9,7,0,0,9
5.172,0.645,-58,4.748,1.031,-60,6.496,2.078,-71,4,4,7,9,7,0,0,9
5.123,0.648,-58,4.827,0.972,-60,6.291,2.119,-70,4,4,7,9,7,0,0,9
5.035,0.789,-58,4.866,1.011,-60,6.409,2.103,-69,4,4,7,9,7,0,0,9
5.064,0.832,-57,4.827,0.989,-60,6.409,2.08,-69,4,4,7,9,7,0,0,9
5.094,0.68,-58,4.788,1.043,-61,6.379,2.116,-69,4,4,7,9,7,0,0,9
4.859,0.992,-58,4.944,0.98,-60,6.409,2.025,-69,4,4,7,9,7,0,0,9
5.094,0.719,-58,4.885,0.914,-60,6.438,2.141,-69,4,4,7,9,7,0,0,9
5.123,0.709,-58,4.905,0.967,-60,6.526,1.984,-72,4,4,7,9,7,0,0,9
5.094,0.744,-58,4.983,0.89,-60,6.438,2.05,-71,4,4,7,9,7,0,0,9
5.123,0.628,-58,4.983,0.943,-60,6.409,2.14,-70,4,4,7,9,7,0,0,9
5.123,0.631,-58,5.061,0.875,-60,6.496,2.115,-71,4,4,7,9,7,0,0,9
5.064,0.702,-59,4.905,0.94,-60,6.438,2.066,-71,4,4,7,9,7,0,0,9
4.918,0.867,-58,5.022,0.892,-60,6.496,2.133,-71,4,4,7,9,7,0,0,9
5.035,0.762,-58,4.905,0.969,-60,6.555,2.162,-71,4,4,7,9,7,0,0,9
5.094,0.738,-59,4.905,0.924,-60,6.438,2.162,-71,4,4,7,9,7,0,0,9
5.123,0.863,-58,4.944,0.916,-60,6.467,2.17,-71,4,4,7,9,7,0,0,9
4.87,0.912,-55,4.905,0.967,-60,6.467,2.169,-71,4,4,7,9,7,0,0,9
5.035,0.814,-59,4.905,0.978,-60,6.496,2.155,-71,4,4,7,9,7,0,0,9
5.035,0.751,-58,4.866,0.986,-60,6.526,2.181,-71,4,4,7,9,7,0,0,9
5.006,0.711,-58,4.983,0.943,-60,6.496,2.154,-71,4,4,7,9,7,0,0,9
5.035,0.662,-60,5.022,0.869,-60,6.526,2.196,-71,4,4,7,9,7,0,0,9
5.182,0.603,-58,5.022,0.914,-60,6.496,2.132,-71,4,4,7,9,7,0,0,9
5.094,0.71,-57,4.827,0.989,-60,6.555,2.142,-71,4,4,7,9,7,0,0,9
5.006,0.879,-58,4.944,0.959,-60,6.496,2.171,-71,4,4,7,9,7,0,0,9
4.859,0.916,-58,4.788,1.038,-60,6.526,2.197,-71,4,4,7,9,7,0,0,9
5.123,0.748,-58,4.827,1.017,-59,6.526,2.022,-70,4,4,7,9,7,0,0,9
4.83,0.914,-58,4.944,0.922,-59,6.438,2.2,-71,4,4,7,9,7,0,0,9
4.83,0.876,-57,5.1,0.856,-59,6.409,2.156,-69,4,4,7,9,7,0,0,9
5.035,0.74,-57,4.983,0.955,-59,6.379,2.095,-70,4,4,7,9,7,0,0,9
5.035,0.727,-58,4.866,1.015,-60,6.555,1.967,-70,4,4,7,9,7,0,0,9
4.859,0.848,-58,5.022,0.941,-59,6.379,2.132,-70,4,4,7,9,7,0,0,9
