AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
4.01,1.917,-55,5.09,0.306,-65,6.994,2.378,-57,6,5,7,9,7,0,0,9
3.922,0.135,-59,5.061,0.195,-58,6.819,1.42,-58,6,5,7,9,7,0,0,9
3.699,0.389,-56,4.739,0.32,-58,6.819,1.474,-57,6,5,7,9,7,0,0,9
3.648,0.276,-59,4.68,0.386,-57,6.965,0.382,-62,6,5,7,9,7,0,0,9
4.186,1.94,-63,4.914,0.278,-60,7.082,0.861,-60,6,5,7,9,7,0,0,9
4,0.216,-57,4.446,0.443,-57,7.112,0.776,-61,6,5,7,9,7,0,0,9
3.629,1.529,-60,4.416,0.59,-59,7.229,0.38,-61,6,5,7,9,7,0,0,9
4.098,0.198,-59,4.475,0.516,-57,7.112,0.395,-61,6,5,7,9,7,0,0,9
4.068,1.557,-58,4.416,0.507,-59,7.053,0.511,-60,6,5,7,9,7,0,0,9
3.883,0.152,-62,4.504,0.412,-58,7.053,0.603,-61,6,5,7,9,7,0,0,9
4.018,0.409,-59,4.446,0.524,-57,7.229,1.466,-61,6,5,7,9,7,0,0,9
4.068,0.621,-59,4.211,0.766,-59,7.229,0.556,-63,6,5,7,9,7,0,0,9
4.244,0.133,-59,4.504,0.485,-57,6.76,0.611,-63,6,5,7,9,7,0,0,9
4.303,1.308,-59,4.182,0.623,-61,6.907,0.759,-66,6,5,7,9,7,0,0,9
3.453,0.531,-59,4.475,0.484,-59,6.965,0.8,-64,6,5,7,9,7,0,0,9
3.775,0.08,-62,4.475,0.549,-57,6.965,0.645,-62,6,5,7,9,7,0,0,9
3.717,0.183,-59,4.387,0.559,-59,6.907,0.559,-61,6,5,7,9,7,0,0,9
3.288,0.796,-57,4.475,0.551,-58,6.965,0.481,-61,6,5,7,9,7,0,0,9
3.57,0.25,-61,4.416,0.576,-57,6.936,0.587,-60,6,5,7,9,7,0,0,9
3.531,0.225,-62,4.416,0.62,-58,6.877,0.713,-61,6,5,7,9,7,0,0,9
3.23,0.362,-60,4.329,0.598,-58,6.907,0.759,-60,6,5,7,9,7,0,0,9
3.57,0.242,-62,4.299,0.595,-58,6.965,0.686,-61,6,5,7,9,7,0,0,9
3.609,0.226,-62,4.475,0.481,-57,7.082,0.672,-59,6,5,7,9,7,0,0,9
3.531,0.249,-62,4.387,0.464,-57,7.082,0.556,-59,6,5,7,9,7,0,0,9
3.766,0.186,-62,4.651,0.441,-57,7.082,1.766,-60,6,5,7,9,7,0,0,9
3.766,0.158,-62,4.592,0.481,-57,6.789,1.005,-63,6,5,7,9,7,0,0,9
4.215,0.164,-56,4.475,0.576,-57,6.965,0.423,-62,6,5,7,9,7,0,0,9
4.098,0.152,-61,4.592,0.524,-57,6.643,1.389,-64,6,5,7,9,7,0,0,9
4.117,0.099,-56,4.592,0.507,-57,7.112,0.247,-59,6,5,7,9,7,0,0,9
4.156,0.249,-60,4.416,0.609,-58,7.17,1.801,-60,6,5,7,9,7,0,0,9
3.981,1.79,-59,4.504,0.532,-60,7.17,0.147,-58,6,5,7,9,7,0,0,9
4.068,1.382,-59,4.416,0.545,-59,6.907,1.312,-56,6,5,7,9,7,0,0,9
