AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
5.211,1.356,-65,2.834,0.221,-60,8.967,0.336,-64,6,3,7,9,7,0,0,9
5.504,0.557,-68,3.147,0.106,-61,8.889,0.354,-66,6,3,7,9,7,0,0,9
5.641,0.809,-58,3.01,0.085,-59,8.166,0.584,-64,6,3,7,9,7,0,0,9
5.328,0.233,-63,2.873,0.241,-60,9.221,1.28,-62,6,3,7,9,7,0,0,9
5.367,1.173,-65,2.922,0.192,-59,8.547,0.512,-64,6,3,7,9,7,0,0,9
5.445,0.955,-61,2.873,0.223,-59,8.489,1.304,-69,6,3,7,9,7,0,0,9
5.836,0.896,-62,2.834,0.196,-58,8.225,0.603,-71,6,3,7,9,7,0,0,9
5.641,1.132,-62,2.913,0.265,-59,8.401,0.987,-64,6,3,7,9,7,0,0,9
5.797,0.908,-61,2.873,0.248,-57,8.772,0.217,-66,6,3,7,9,7,0,0,9
5.25,1.163,-62,2.717,0.338,-60,8.401,0.729,-66,6,3,7,9,7,0,0,9
5.328,1.149,-66,2.756,0.304,-58,8.518,0.491,-68,6,3,7,9,7,0,0,9
5.602,1.202,-61,2.6,0.239,-59,7.961,0.698,-71,6,3,7,9,7,0,0,9
5.289,1.821,-62,2.717,0.265,-60,8.371,0.685,-70,6,3,7,9,7,0,0,9
5.25,1.971,-59,2.717,0.232,-60,7.991,0.442,-71,6,3,7,9,7,0,0,9
5.68,0.968,-61,2.522,0.446,-57,8.225,0.496,-71,6,3,7,9,7,0,0,9
5.875,0.74,-60,2.952,0.098,-59,8.049,0.616,-69,6,3,7,9,7,0,0,9
5.289,1.246,-62,3.147,0.182,-58,8.899,0.188,-71,6,3,7,9,7,0,0,9
4.977,1.33,-65,3.303,0.732,-60,8.635,0.141,-73,6,3,7,9,7,0,0,9
5.406,0.314,-64,3.537,0.445,-63,8.869,0.299,-69,6,3,7,9,7,0,0,9
5.953,0.948,-63,2.795,0.954,-62,8.342,0.36,-69,6,3,7,9,7,0,0,9
5.367,0.139,-62,3.225,0.696,-59,8.225,1.996,-69,6,3,7,9,7,0,0,9
5.006,0.517,-63,3.85,0.231,-66,8.459,0.637,-69,6,3,7,9,7,0,0,9
5.133,0.14,-64,2.913,0.594,-65,8.313,0.536,-71,6,3,7,9,7,0,0,9
5.25,1.177,-63,2.913,0.547,-63,8.43,0.212,-72,6,3,7,9,7,0,0,9
5.094,1.219,-63,2.913,0.179,-62,8.108,0.449,-72,6,3,7,9,7,0,0,9
5.055,1.155,-61,2.717,0.484,-65,8.079,0.562,-71,6,3,7,9,7,0,0,9
5.016,1.455,-61,2.795,0.354,-59,8.459,0.381,-70,6,3,7,9,7,0,0,9
5.016,1.333,-62,2.795,0.283,-64,8.547,0.305,-70,6,3,7,9,7,0,0,9
5.016,1.294,-56,2.756,0.368,-59,8.43,0.372,-69,6,3,7,9,7,0,0,9
5.25,1.005,-62,2.952,0.188,-59,8.489,0.35,-70,6,3,7,9,7,0,0,9
7.725,2.389,-57,3.03,0.216,-60,8.664,0.38,-69,6,3,7,9,7,0,0,9
5.182,1.839,-63,2.913,0.34,-63,8.43,0.481,-71,6,3,7,9,7,0,0,9
