AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
9.815,2.58,-62,5.842,2.123,-60,9.866,2.207,-72,3,1,7,9,7,0,0,9
9.195,2.86,-63,5.764,0.109,-61,12.483,0.861,-70,3,1,7,9,7,0,0,9
8.814,0.223,-63,5.032,0.153,-54,9.866,0.418,-73,3,1,7,9,7,0,0,9
9.019,0.352,-63,5.295,0.109,-55,9.553,1.367,-70,3,1,7,9,7,0,0,9
9.019,0.247,-59,5.686,1.513,-56,10.178,1.05,-70,3,1,7,9,7,0,0,9
9.078,0.17,-64,5.452,2.161,-58,9.631,0.517,-74,3,1,7,9,7,0,0,9
8.561,0.486,-60,5.608,1.207,-58,9.866,1.099,-80,3,1,7,9,7,0,0,9
9.078,0.128,-64,5.53,1.978,-59,12.014,0.873,-75,3,1,7,9,7,0,0,9
9.049,0.194,-63,5.569,1.665,-57,10.862,1.205,-68,3,1,7,9,7,0,0,9
9.586,2.41,-59,5.295,1.491,-56,10.491,0.771,-77,3,1,7,9,7,0,0,9
8.814,0.12,-63,5.608,0.735,-57,8.723,2.093,-77,3,1,7,9,7,0,0,9
14.908,0.176,-63,5.53,0.878,-57,10.139,0.428,-79,3,1,7,9,7,0,0,9
8.688,1.917,-63,5.569,1.978,-57,11.946,0.437,-76,3,1,7,9,7,0,0,9
8.591,0.454,-57,5.53,1.872,-57,8.967,2.176,-75,3,1,7,9,7,0,0,9
8.648,0.145,-62,5.569,1.62,-57,9.163,2.378,-73,3,1,7,9,7,0,0,9
14.439,0.107,-65,5.569,0.735,-57,9.866,2.352,-74,3,1,7,9,7,0,0,9
8.57,1.385,-64,5.491,0.808,-57,10.061,1.692,-72,3,1,7,9,7,0,0,9
8.883,0.176,-64,5.452,1.363,-57,10.022,1.787,-74,3,1,7,9,7,0,0,9
8.844,0.175,-64,5.412,1.375,-57,11.506,1.463,-74,3,1,7,9,7,0,0,9
9.078,0.416,-63,5.569,1.333,-57,15.901,0.275,-76,3,1,7,9,7,0,0,9
9.313,0.157,-63,5.53,2.009,-56,10.217,2.012,-76,3,1,7,9,7,0,0,9
9.078,1.776,-63,5.53,0.733,-57,13.069,0.522,-71,3,1,7,9,7,0,0,9
9.195,1.859,-62,5.53,1.695,-56,11.077,1.519,-70,3,1,7,9,7,0,0,9
9,0.258,-63,5.569,2.116,-56,12.913,0.211,-70,3,1,7,9,7,0,0,9
8.805,0.581,-62,5.686,0.633,-57,11.858,1.232,-74,3,1,7,9,7,0,0,9
16.08,0.214,-63,5.53,2.008,-57,11.506,1.021,-73,3,1,7,9,7,0,0,9
7.712,1.669,-61,5.491,1.306,-57,10.803,1.077,-72,3,1,7,9,7,0,0,9
8.883,0.251,-63,5.803,1.9,-56,12.522,0.761,-70,3,1,7,9,7,0,0,9
9.352,2.127,-63,5.764,1.629,-57,12.678,0.95,-74,3,1,7,9,7,0,0,9
9.441,0.437,-62,5.608,1.982,-57,11.936,0.99,-73,3,1,7,9,7,0,0,9
8.727,0.485,-65,5.764,1.963,-57,10.725,1.504,-73,3,1,7,9,7,0,0,9
8.961,1.213,-63,5.608,2.111,-56,10.725,1.606,-72,3,1,7,9,7,0,0,9
9.6,0.43,-55,5.647,2.091,-57,12.756,0.798,-71,3,1,7,9,7,0,0,9
9.078,0.498,-63,5.686,2.116,-57,12.288,0.77,-72,3,1,7,9,7,0,0,9
9,0.42,-64,5.764,2.062,-56,12.21,1.079,-72,3,1,7,9,7,0,0,9
9.195,0.331,-63,5.647,2.119,-57,11.584,1.557,-73,3,1,7,9,7,0,0,9
9.078,0.409,-63,5.764,2.006,-57,12.209,1.367,-73,3,1,7,9,7,0,0,9
9.039,1.667,-63,5.764,2.105,-57,11.428,1.494,-73,3,1,7,9,7,0,0,9
9.156,0.41,-62,5.803,2.099,-57,10.686,1.662,-73,3,1,7,9,7,0,0,9
9.273,0.276,-62,5.725,2.093,-57,11.858,1.42,-73,3,1,7,9,7,0,0,9
9.078,0.576,-63,5.647,2.093,-57,10.842,1.816,-75,3,1,7,9,7,0,0,9
9.234,0.408,-63,5.686,2.114,-57,10.725,1.83,-74,3,1,7,9,7,0,0,9
9.137,2.256,-63,5.803,2.043,-57,10.491,1.681,-73,3,1,7,9,7,0,0,9
9.313,1.516,-62,5.686,2.098,-57,12.405,1.016,-74,3,1,7,9,7,0,0,9
9.117,0.319,-63,5.608,2.052,-57,12.327,0.847,-74,3,1,7,9,7,0,0,9
9.156,1.666,-58,5.608,2.139,-57,12.17,0.896,-73,3,1,7,9,7,0,0,9
9.273,0.464,-63,5.803,2.027,-56,12.249,0.744,-72,3,1,7,9,7,0,0,9
8.591,1.687,-59,5.842,2.023,-57,12.444,0.843,-72,3,1,7,9,7,0,0,9
9.117,0.312,-64,5.608,2.099,-57,12.6,0.729,-74,3,1,7,9,7,0,0,9
9.078,0.177,-64,5.881,1.99,-57,12.717,0.642,-75,3,1,7,9,7,0,0,9
9.156,0.154,-63,5.608,2.137,-57,12.561,0.256,-75,3,1,7,9,7,0,0,9
9.459,0.402,-58,5.764,2.077,-57,12.522,0.287,-75,3,1,7,9,7,0,0,9
9.156,0.396,-63,5.686,2.073,-57,12.561,0.259,-74,3,1,7,9,7,0,0,9
8.825,0.973,-58,5.608,2.152,-57,12.6,0.568,-73,3,1,7,9,7,0,0,9
9.195,0.573,-63,5.842,2.024,-57,12.483,0.754,-74,3,1,7,9,7,0,0,9
9.078,1.209,-58,5.725,2.065,-56,12.327,0.607,-74,3,1,7,9,7,0,0,9
9.444,0.366,-58,5.647,2.134,-57,11.35,0.804,-75,3,1,7,9,7,0,0,9
9.225,0.462,-63,5.725,2.079,-56,10.959,0.843,-75,3,1,7,9,7,0,0,9
9.17,0.568,-58,5.686,2.114,-56,11.467,0.982,-75,3,1,7,9,7,0,0,9
9.117,0.425,-59,5.803,2.017,-57,11.702,0.764,-75,3,1,7,9,7,0,0,9
9.117,0.455,-63,5.764,2.062,-57,11.975,0.726,-75,3,1,7,9,7,0,0,9
9.156,0.367,-63,5.608,2.109,-57,12.092,0.213,-76,3,1,7,9,7,0,0,9
9.117,1.507,-58,5.686,2.056,-56,12.288,0.297,-75,3,1,7,9,7,0,0,9
9.156,0.524,-63,5.764,2.018,-56,12.444,0.57,-74,3,1,7,9,7,0,0,9
9.234,0.294,-58,5.686,2.085,-57,11.663,0.996,-75,3,1,7,9,7,0,0,9
8.971,1.242,-63,5.842,2.008,-57,12.21,0.795,-75,3,1,7,9,7,0,0,9
9.117,0.47,-63,5.725,2.067,-57,12.6,0.457,-75,3,1,7,9,7,0,0,9
9.234,0.404,-63,5.569,2.173,-57,10.881,1.114,-74,3,1,7,9,7,0,0,9
9.234,0.399,-63,5.686,2.069,-57,10.842,1.216,-74,3,1,7,9,7,0,0,9
9.078,0.393,-63,5.725,2.051,-57,12.483,0.16,-74,3,1,7,9,7,0,0,9
9.156,1.34,-58,5.725,2.037,-57,12.131,0.541,-75,3,1,7,9,7,0,0,9
9.137,1.429,-58,5.647,1.941,-57,12.6,0.403,-74,3,1,7,9,7,0,0,9
9.195,0.321,-63,5.686,2.028,-57,12.288,0.611,-75,3,1,7,9,7,0,0,9
9.249,0.494,-59,5.725,2.05,-57,12.366,0.446,-74,3,1,7,9,7,0,0,9
9.078,0.486,-64,5.725,2.038,-57,12.327,0.475,-74,3,1,7,9,7,0,0,9
9.156,0.475,-59,5.647,2.051,-57,12.366,0.354,-74,3,1,7,9,7,0,0,9
9.195,1.418,-58,5.725,2.051,-57,12.327,0.563,-75,3,1,7,9,7,0,0,9
8.796,1.558,-63,5.686,1.737,-57,12.366,0.497,-74,3,1,7,9,7,0,0,9
9.288,0.354,-59,5.725,2.023,-57,12.21,0.651,-74,3,1,7,9,7,0,0,9
9.195,0.46,-64,5.764,2.031,-57,12.17,0.554,-75,3,1,7,9,7,0,0,9
9.234,0.444,-63,5.725,2.024,-57,12.249,0.558,-75,3,1,7,9,7,0,0,9
9.156,0.445,-63,5.764,2.033,-57,12.405,0.585,-75,3,1,7,9,7,0,0,9
9.156,0.438,-63,5.725,2.066,-57,12.21,0.691,-74,3,1,7,9,7,0,0,9
9.156,0.376,-63,5.92,1.953,-57,12.053,0.789,-75,3,1,7,9,7,0,0,9
9.117,0.525,-63,5.686,2.089,-57,12.444,0.596,-74,3,1,7,9,7,0,0,9
9.156,0.505,-64,5.803,2.042,-57,12.522,0.529,-74,3,1,7,9,7,0,0,9
9.156,0.449,-64,5.764,2.089,-57,12.405,0.485,-74,3,1,7,9,7,0,0,9
9.195,0.418,-64,5.764,2.074,-57,12.561,0.235,-74,3,1,7,9,7,0,0,9
