AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3
7.555,0.767,-58,4.749,0.12,-62,8.782,1.598,-66,3,2,7,9,7,0,0,9
7.644,0.474,-58,4.534,0.264,-61,7.952,0.462,-67,3,2,7,9,7,0,0,9
7.359,1.244,-62,4.514,0.32,-63,8.499,0.261,-64,3,2,7,9,7,0,0,9
7.711,1.04,-67,4.973,0.455,-58,9.954,1.101,-64,3,2,7,9,7,0,0,9
7.164,1.005,-63,4.739,0.29,-60,8.43,2.548,-66,3,2,7,9,7,0,0,9
7.359,1.001,-63,4.944,1.236,-58,7.639,0.599,-67,3,2,7,9,7,0,0,9
7.633,1.111,-66,4.856,1.863,-60,7.405,0.786,-66,3,2,7,9,7,0,0,9
7.633,1.233,-64,4.885,0.394,-58,7.444,0.542,-69,3,2,7,9,7,0,0,9
7.398,1.79,-63,4.914,1.989,-58,8.147,1.983,-66,3,2,7,9,7,0,0,9
9.781,1.099,-64,4.592,0.692,-57,7.913,1.643,-73,3,2,7,9,7,0,0,9
7.594,0.975,-64,4.885,0.639,-62,7.795,1.924,-67,3,2,7,9,7,0,0,9
7.398,0.953,-63,5.002,0.466,-61,7.952,0.302,-65,3,2,7,9,7,0,0,9
7.477,1.864,-61,4.885,0.809,-59,7.834,0.156,-66,3,2,7,9,7,0,0,9
7.594,0.948,-63,4.885,0.439,-61,8.381,0.139,-69,3,2,7,9,7,0,0,9
7.555,1.012,-60,4.885,0.742,-59,8.606,1.925,-69,3,2,7,9,7,0,0,9
7.555,1.051,-64,4.797,0.647,-61,8.03,0.339,-64,3,2,7,9,7,0,0,9
7.516,1.781,-59,4.739,0.622,-61,8.538,0.14,-67,3,2,7,9,7,0,0,9
7.594,0.935,-64,4.797,1.551,-60,8.108,0.503,-68,3,2,7,9,7,0,0,9
7.555,1.018,-64,4.709,0.719,-59,8.782,2.319,-65,3,2,7,9,7,0,0,9
7.555,1.191,-63,5.002,1.847,-61,12.522,0.491,-66,3,2,7,9,7,0,0,9
7.594,1.248,-62,4.739,0.819,-61,8.225,0.12,-65,3,2,7,9,7,0,0,9
7.803,0.888,-59,4.709,0.6,-61,7.717,2.283,-66,3,2,7,9,7,0,0,9
7.516,1.804,-58,4.944,0.851,-59,8.186,1.891,-67,3,2,7,9,7,0,0,9
7.594,1.073,-64,4.944,1.407,-61,7.561,2.259,-67,3,2,7,9,7,0,0,9
7.516,1.776,-58,4.768,0.603,-60,8.069,2.008,-66,3,2,7,9,7,0,0,9
7.594,0.951,-64,4.944,0.707,-60,7.991,0.167,-68,3,2,7,9,7,0,0,9
7.594,1.116,-63,4.651,0.677,-60,7.952,0.601,-69,3,2,7,9,7,0,0,9
7.437,1.781,-59,4.768,0.545,-62,8.069,0.154,-68,3,2,7,9,7,0,0,9
7.516,0.996,-63,4.768,0.596,-60,7.991,0.233,-67,3,2,7,9,7,0,0,9
7.672,0.958,-63,4.856,0.469,-60,7.991,1.932,-65,3,2,7,9,7,0,0,9
7.516,0.854,-63,4.768,0.722,-61,7.912,1.724,-66,3,2,7,9,7,0,0,9
8.116,1.525,-59,4.68,0.691,-62,7.991,1.352,-66,3,2,7,9,7,0,0,9
8.272,0.939,-58,4.973,0.66,-62,7.952,1.84,-66,3,2,7,9,7,0,0,9
7.555,1.039,-64,4.973,0.455,-62,7.834,2.14,-66,3,2,7,9,7,0,0,9
7.633,0.988,-63,4.973,0.587,-61,7.717,1.44,-68,3,2,7,9,7,0,0,9
7.555,1.084,-64,4.856,0.759,-61,8.03,0.424,-67,3,2,7,9,7,0,0,9
7.594,1.121,-64,4.768,0.683,-61,7.991,1.96,-67,3,2,7,9,7,0,0,9
7.594,1.089,-63,5.032,0.6,-61,7.991,0.37,-67,3,2,7,9,7,0,0,9
7.516,1.08,-63,4.68,0.718,-60,7.912,1.965,-66,3,2,7,9,7,0,0,9
7.633,1.06,-63,4.739,0.46,-62,8.069,0.438,-67,3,2,7,9,7,0,0,9
7.516,1.152,-63,4.944,0.537,-61,8.03,2.004,-66,3,2,7,9,7,0,0,9
9.547,0,-63,4.944,1.52,-61,7.991,1.431,-67,3,2,7,9,7,0,0,9
7.516,1.043,-63,4.768,0.477,-60,8.186,0.451,-68,3,2,7,9,7,0,0,9
7.633,0.975,-64,4.797,0.659,-61,8.03,0.468,-67,3,2,7,9,7,0,0,9
7.711,0.977,-64,4.68,0.754,-61,8.03,0.423,-66,3,2,7,9,7,0,0,9
7.516,1.131,-63,4.944,1.607,-61,7.912,0.523,-67,3,2,7,9,7,0,0,9
7.477,1.235,-63,4.885,0.659,-61,8.03,0.405,-68,3,2,7,9,7,0,0,9
7.555,1.065,-64,4.973,0.634,-60,7.952,2.022,-66,3,2,7,9,7,0,0,9
7.672,1.013,-64,4.709,1.558,-60,8.069,2.078,-68,3,2,7,9,7,0,0,9
7.594,0.968,-63,4.797,1.664,-61,8.03,0.499,-66,3,2,7,9,7,0,0,9
7.711,1.05,-63,4.768,0.734,-61,7.912,2.232,-66,3,2,7,9,7,0,0,9
7.594,1.035,-62,4.709,0.772,-61,8.03,1.727,-67,3,2,7,9,7,0,0,9
7.594,1.066,-63,4.827,0.734,-61,7.952,1.731,-67,3,2,7,9,7,0,0,9
7.438,0.891,-64,5.002,1.46,-60,7.991,1.469,-67,3,2,7,9,7,0,0,9
7.477,1.783,-60,4.914,0.651,-61,7.952,2.013,-67,3,2,7,9,7,0,0,9
7.555,0.916,-64,4.885,0.688,-60,7.952,2.138,-66,3,2,7,9,7,0,0,9
7.594,0.892,-64,4.797,0.639,-60,7.912,2.033,-66,3,2,7,9,7,0,0,9
7.516,0.984,-65,4.973,0.64,-61,7.952,1.768,-67,3,2,7,9,7,0,0,9
7.672,0.852,-64,4.827,0.658,-61,8.069,1.739,-68,3,2,7,9,7,0,0,9
7.555,1.162,-64,4.739,0.673,-61,7.952,0.348,-67,3,2,7,9,7,0,0,9
7.75,1.077,-64,4.768,0.574,-62,8.03,0.307,-67,3,2,7,9,7,0,0,9
7.477,1.196,-64,5.002,0.425,-61,7.913,0.379,-68,3,2,7,9,7,0,0,9
