AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
1.8862097903652868,0.442,-55,10.123067811865475,1.354,-65,4.953550934371847,0.544,-61,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
1.7692097903652868,0.466,-52,10.397067811865476,1.178,-65,4.455550934371846,0.759,-63,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
1.7692097903652868,0.538,-52,11.041067811865476,0.139,-65,5.832550934371847,0.164,-63,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.0032097903652866,0.548,-53,10.983067811865476,0.375,-65,6.018550934371847,2.185,-63,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
1.847209790365287,0.559,-54,7.858067811865475,1.019,-63,5.901550934371846,0.885,-63,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.5802097903652865,0.057,-56,7.311067811865476,0.39,-65,5.823550934371847,1.155,-65,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.472209790365287,0.746,-58,7.350067811865475,1.313,-62,5.9405509343718474,1.093,-67,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.6682097903652866,0.298,-56,7.311067811865476,1.214,-63,5.979550934371847,1.133,-68,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.3162097903652867,2.194,-57,7.272067811865475,1.366,-63,6.272550934371846,2.56,-63,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.1992097903652867,1.692,-58,7.194067811865476,1.516,-61,6.174550934371847,1.822,-65,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
2.5502097903652867,0.195,-55,7.037067811865476,1.593,-60,5.549550934371847,0.785,-65,6,7,7,9,7,0,0,9,2.23606797749979,7.0710678118654755,6.324555320336759
