AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
6.458431910667548,0.892,-52,9.49660807052444,0.723,-56,4.3681837535812145,0.493,-62,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.458431910667548,0.948,-52,9.555608070524439,0.486,-58,3.3141837535812146,0.495,-54,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.692431910667548,0.743,-50,9.46760807052444,0.551,-58,4.007183753581215,0.166,-62,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
7.122431910667547,0.508,-53,9.32060807052444,0.814,-59,1.9071837535812148,0.483,-57,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
7.552431910667548,0.306,-53,9.232608070524439,1.34,-60,2.308183753581215,0.254,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.966431910667548,0.66,-54,9.379608070524439,0.804,-59,2.220183753581215,0.14,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.849431910667548,0.735,-53,9.29160807052444,0.9,-58,2.4151837535812146,0.171,-59,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.497431910667547,0.769,-54,8.998608070524439,0.911,-58,2.2591837535812145,0.175,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.938431910667548,0.893,-52,9.32060807052444,0.925,-58,2.2981837535812146,0.104,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.536431910667548,0.714,-53,9.11560807052444,0.797,-57,2.0251837535812145,0.176,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.614431910667547,0.837,-54,9.11560807052444,0.969,-57,2.308183753581215,1.414,-59,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
7.991431910667548,0.918,-56,9.232608070524439,0.93,-58,2.0641837535812146,0.153,-63,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
7.727431910667548,0.554,-53,9.203608070524439,1.026,-60,2.2791837535812145,0.176,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.874,-54,9.32060807052444,0.811,-61,1.9071837535812148,0.173,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.145431910667548,0.976,-54,9.26260807052444,0.898,-58,1.9861837535812148,0.196,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.106431910667547,1.021,-54,9.26260807052444,0.84,-57,2.1611837535812146,0.153,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.302431910667548,0.814,-52,9.145608070524439,0.858,-58,2.103183753581215,0.16,-63,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.945,-54,9.08660807052444,0.848,-58,2.1421837535812145,0.171,-63,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.145431910667548,0.989,-54,9.145608070524439,0.826,-58,2.1611837535812146,0.212,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.999,-54,9.232608070524439,0.834,-57,2.220183753581215,0.15,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.969,-54,9.232608070524439,0.837,-57,2.103183753581215,0.083,-62,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.302431910667548,0.84,-54,9.203608070524439,0.908,-58,2.3371837535812143,0.11,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.380431910667547,0.774,-54,9.145608070524439,0.956,-58,2.1321837535812147,0.139,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.380431910667547,0.816,-54,9.203608070524439,0.946,-57,2.2791837535812145,0.359,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.145431910667548,0.964,-54,9.174608070524439,1.002,-57,2.220183753581215,0.172,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.224431910667548,0.982,-54,9.11560807052444,0.949,-57,2.1321837535812147,0.192,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.902,-54,9.32060807052444,0.887,-57,2.2791837535812145,0.171,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.302431910667548,0.828,-54,9.203608070524439,1.009,-57,2.2491837535812147,0.138,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,1.1,-49,9.203608070524439,0.984,-58,2.2791837535812145,0.163,-62,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.97,-54,9.232608070524439,0.951,-57,2.220183753581215,0.122,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,1.018,-54,9.203608070524439,1.08,-57,2.2981837535812146,0.121,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.458431910667548,0.766,-55,9.203608070524439,0.952,-58,2.1611837535812146,0.195,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.95,-54,9.11560807052444,1.065,-57,2.2981837535812146,0.229,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.380431910667547,0.774,-54,9.26260807052444,0.993,-57,2.2981837535812146,0.136,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.341431910667548,0.874,-54,9.145608070524439,1.054,-58,2.1811837535812146,0.074,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.707431910667547,0.85,-49,9.232608070524439,0.974,-57,2.220183753581215,0.131,-60,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.419431910667548,0.75,-54,9.29160807052444,1.037,-57,2.220183753581215,0.074,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.903,-55,9.26260807052444,1.013,-57,2.191183753581215,0.202,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.341431910667548,0.734,-49,9.145608070524439,1.014,-58,2.191183753581215,0.181,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.907,-54,9.26260807052444,0.896,-57,2.2491837535812147,0.152,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.341431910667548,0.993,-49,9.203608070524439,0.965,-57,2.2491837535812147,0.165,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.380431910667547,0.885,-46,9.203608070524439,0.908,-58,2.191183753581215,0.215,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.224431910667548,0.958,-50,9.174608070524439,0.923,-57,2.1901837535812145,0.196,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.915,-55,9.203608070524439,0.855,-57,2.2491837535812147,0.221,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.458431910667548,0.76,-53,9.26260807052444,0.84,-57,2.191183753581215,0.137,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.943,-54,9.203608070524439,0.794,-57,2.2981837535812146,0.211,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.185431910667548,0.999,-54,9.203608070524439,0.855,-57,2.220183753581215,0.163,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.224431910667548,0.886,-50,9.26260807052444,0.802,-57,2.220183753581215,0.116,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.263431910667547,0.916,-54,9.203608070524439,0.809,-57,2.220183753581215,0.15,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
6.224431910667548,0.922,-54,9.203608070524439,0.809,-58,2.220183753581215,0.115,-61,1,7,7,9,7,0,0,9,6.324555320336759,9.219544457292887,2.23606797749979
