AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
8.37688405629038,0.556,-64,6.188091661188889,0.677,-66,6.697283350712593,0.339,-71,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.64088405629038,0.267,-59,5.895091661188889,0.532,-68,6.052283350712593,1.437,-66,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.03488405629038,0.69,-56,6.647091661188889,0.173,-68,8.142283350712592,1.92,-70,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.32488405629038,1.215,-67,6.89109166118889,0.2,-72,6.258283350712593,1.22,-65,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.93388405629038,0.225,-61,6.89109166118889,0.124,-75,5.682283350712594,0.148,-71,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.56388405629038,0.501,-55,6.59809166118889,0.288,-69,6.258283350712593,0.897,-69,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.552884056290381,0.42,-54,6.36409166118889,0.342,-64,6.463283350712593,0.656,-71,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.28888405629038,0.508,-64,6.373091661188889,0.187,-71,7.078283350712593,0.437,-68,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.17188405629038,0.499,-64,8.287091661188889,0.995,-71,7.869283350712593,0.115,-70,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.20088405629038,0.527,-63,11.72509166118889,0.221,-66,6.316283350712593,0.719,-72,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.24588405629038,2.568,-59,6.80309166118889,1.539,-70,6.1992833507125935,1.081,-70,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.24588405629038,2.46,-59,6.41209166118889,1.455,-69,7.342283350712594,0.856,-69,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.167884056290381,0.217,-62,6.68609166118889,0.258,-71,7.224283350712594,1.406,-70,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.14288405629038,0.671,-59,6.451091661188889,0.662,-69,6.931283350712593,0.393,-71,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.728884056290381,0.37,-62,7.03709166118889,0.248,-68,6.111283350712594,1.127,-68,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
7.97788405629038,0.771,-59,6.647091661188889,0.157,-66,6.639283350712593,0.451,-68,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.02188405629038,0.282,-58,6.5100916611888895,0.61,-69,6.463283350712593,0.739,-77,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.31488405629038,0.497,-60,6.48109166118889,0.343,-68,5.994283350712593,0.885,-69,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.786884056290381,0.502,-63,6.6270916611888895,0.372,-71,6.4332833507125935,0.658,-71,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
9.31488405629038,0.474,-57,6.2760916611888895,0.677,-71,5.994283350712593,0.938,-69,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.991884056290381,0.211,-61,6.74509166118889,0.308,-72,6.492283350712593,0.806,-70,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
8.991884056290381,0.315,-56,6.422091661188889,0.534,-69,6.580283350712594,0.634,-69,1,2,7,9,7,0,0,9,9.219544457292887,6.324555320336759,7.0710678118654755
