AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
2.8416573762597452,0.876,-58,7.01265478983278,0.198,-55,5.79307788954026,0.748,-63,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.1156573762597453,1.214,-56,6.27065478983278,0.555,-55,5.7350778895402605,0.704,-68,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.193657376259745,1.288,-56,7.31565478983278,0.844,-55,5.529077889540261,0.841,-68,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
4.496657376259745,1.344,-52,6.66165478983278,0.358,-54,5.676077889540261,0.763,-67,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.3496573762597452,0.414,-59,7.05165478983278,0.189,-55,5.9690778895402605,0.587,-67,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.154657376259745,0.894,-59,7.40365478983278,0.411,-54,6.467077889540262,0.328,-69,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.037657376259745,1.118,-57,7.22765478983278,0.311,-54,5.9690778895402605,0.376,-69,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.154657376259745,1.567,-57,6.73965478983278,0.375,-54,7.131077889540261,1.548,-61,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.154657376259745,0.642,-58,6.23165478983278,0.597,-54,7.092077889540262,1.423,-64,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.310657376259745,0.196,-56,6.23165478983278,0.517,-55,5.705077889540261,0.752,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.701657376259745,1.106,-57,6.23165478983278,0.555,-55,6.027077889540262,0.631,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,1.476,-55,6.38765478983278,0.5,-55,6.467077889540262,0.431,-63,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.535657376259745,0.342,-57,6.62265478983278,0.42,-55,7.287077889540262,1.279,-64,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.662657376259745,1.136,-57,7.31565478983278,0.393,-56,5.7640778895402605,0.759,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,1.121,-57,7.55065478983278,1.9,-56,5.412077889540262,0.936,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.4666573762597452,0.589,-55,7.37465478983278,0.887,-55,5.705077889540261,0.716,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,1.111,-58,7.37465478983278,0.441,-55,5.822077889540262,0.672,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.701657376259745,0.826,-57,6.97365478983278,0.273,-55,5.676077889540261,0.76,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.564657376259745,0.939,-57,6.81765478983278,0.302,-54,5.676077889540261,0.806,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.505657376259745,0.577,-57,6.27065478983278,0.55,-54,5.676077889540261,0.746,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.427657376259745,0.713,-57,6.66165478983278,0.319,-54,5.822077889540262,0.683,-64,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.388657376259745,0.677,-57,7.05165478983278,0.242,-54,5.705077889540261,0.724,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.388657376259745,0.591,-56,6.77865478983278,0.293,-54,5.676077889540261,0.759,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.6236573762597453,0.819,-57,6.46565478983278,0.432,-54,5.617077889540262,0.777,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.581,-57,6.50465478983278,0.456,-54,5.910077889540261,0.653,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.555,-57,6.34865478983278,0.6,-55,5.705077889540261,0.752,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.505657376259745,0.58,-58,6.38765478983278,0.497,-54,5.55907788954026,0.826,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.3496573762597452,0.664,-57,6.19265478983278,0.622,-55,5.676077889540261,0.787,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,0.472,-57,6.23165478983278,0.657,-54,5.7640778895402605,0.724,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
4.613657376259745,0.92,-53,6.46565478983278,0.468,-55,5.617077889540262,0.829,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,0.433,-57,6.15365478983278,0.644,-54,5.647077889540261,0.779,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.4666573762597452,0.587,-57,6.54465478983278,0.402,-54,5.705077889540261,0.748,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.508,-57,6.85665478983278,0.216,-54,5.705077889540261,0.731,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.451,-57,6.93465478983278,0.28,-55,5.705077889540261,0.765,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,0.538,-57,6.77865478983278,0.32,-55,5.7350778895402605,0.737,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.896657376259745,0.306,-57,6.77865478983278,0.313,-54,5.676077889540261,0.765,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.433,-57,6.42665478983278,0.492,-55,5.7640778895402605,0.704,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.622657376259745,0.541,-57,6.42665478983278,0.464,-55,5.676077889540261,0.724,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.701657376259745,0.384,-57,6.30965478983278,0.512,-54,5.7640778895402605,0.729,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,0.772,-57,6.34865478983278,0.633,-54,5.705077889540261,0.762,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.662657376259745,0.542,-57,6.46565478983278,0.511,-54,5.7350778895402605,0.764,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.3496573762597452,0.68,-57,6.19265478983278,0.604,-54,5.705077889540261,0.755,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.63,-56,6.27065478983278,0.681,-54,5.705077889540261,0.791,-66,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.7406573762597453,0.414,-57,6.11465478983278,0.733,-54,5.676077889540261,0.768,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.7406573762597453,0.413,-57,6.27065478983278,0.628,-54,5.7640778895402605,0.729,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.8576573762597453,0.338,-57,6.03665478983278,0.759,-54,5.7350778895402605,0.714,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.5836573762597452,0.606,-57,6.11465478983278,0.65,-54,5.7350778895402605,0.771,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.544657376259745,0.538,-57,6.30965478983278,0.604,-54,5.647077889540261,0.724,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
3.662657376259745,0.42,-57,6.19265478983278,0.653,-53,5.647077889540261,0.808,-65,5,6,7,9,7,0,0,9,3.605551275463989,6.324555320336759,5.830951894845301
