AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
8.036840708822714,0.837,-59,6.489502631578947,1.944,-59,4.296230248288843,0.864,-65,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.2168407088227156,0.178,-57,11.792502631578948,0.066,-60,4.804230248288844,0.746,-67,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
6.981840708822715,0.169,-60,4.4585026315789476,1.127,-67,4.374230248288843,1.259,-65,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.372840708822715,0.168,-61,4.771502631578947,0.572,-64,6.796230248288843,0.332,-69,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.294840708822715,0.217,-60,4.380502631578947,0.656,-62,4.648230248288844,0.908,-64,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.255840708822715,0.283,-58,5.396502631578947,1.863,-62,6.269230248288842,0.483,-71,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.3628407088227155,0.241,-58,5.122502631578947,2.141,-62,5.947230248288843,0.793,-70,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.802840708822715,1.366,-57,4.966502631578948,2.192,-60,6.533230248288843,0.115,-75,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.294840708822715,0.233,-55,4.966502631578948,2.048,-63,6.533230248288843,0.31,-73,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.500840708822715,0.26,-57,5.239502631578947,0.463,-61,6.708230248288842,0.279,-73,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
7.421840708822716,0.099,-58,5.239502631578947,2.475,-58,6.767230248288843,0.202,-72,3,3,7,9,7,0,0,9,7.211102550927978,5.0,6.708203932499369
