AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y,x1,y1,x2,y2,x3,y3,True_range1,True_range2,True_range3
4.082815808385284,1.596,-57,7.0374612050383245,1.65,-67,3.049519174528693,0.572,-55,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
8.343815808385285,1.142,-54,8.570461205038324,0.131,-68,3.078519174528693,0.867,-55,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
1.8558158083852851,1.977,-55,8.980461205038324,0.192,-63,3.078519174528693,0.67,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
3.144815808385285,1.495,-59,8.892461205038323,0.137,-61,3.254519174528693,0.659,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
5.898815808385285,2.038,-55,8.951461205038324,0.222,-63,3.225519174528693,0.58,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
1.8948158083852848,1.955,-57,8.209461205038323,0.439,-64,3.137519174528693,0.761,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
5.645815808385285,1.054,-55,8.131461205038324,0.514,-67,3.225519174528693,0.62,-53,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
3.379815808385285,1.149,-54,8.287461205038325,0.538,-63,3.225519174528693,0.56,-54,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.043815808385284,0.924,-58,6.666461205038324,1.221,-63,3.166519174528693,0.293,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.082815808385284,0.873,-59,8.443461205038323,0.464,-65,3.283519174528693,0.385,-53,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
3.8088158083852846,1.299,-57,8.482461205038325,0.225,-67,3.283519174528693,0.586,-53,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
5.737815808385285,1.425,-55,8.482461205038325,1.034,-69,3.283519174528693,0.616,-51,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.043815808385284,0.953,-58,8.795461205038324,0.229,-65,3.137519174528693,0.588,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.082815808385284,0.816,-58,8.638461205038324,0.961,-68,3.108519174528693,0.719,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.160815808385285,1.272,-54,8.560461205038324,0.193,-67,3.108519174528693,0.716,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.375815808385285,0.784,-58,8.560461205038324,0.278,-66,3.1075191745286928,0.599,-51,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.004815808385285,1.185,-58,8.482461205038325,0.829,-66,3.108519174528693,0.694,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.004815808385285,1.059,-58,8.775461205038324,0.125,-67,3.137519174528693,0.662,-52,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
4.121815808385286,1.071,-57,6.519461205038324,0.913,-66,3.049519174528693,0.678,-54,3,8,7,9,7,0,0,9,4.123105625617661,8.94427190999916,3.1622776601683795
