AP1RTT,AP1STDEV,AP2RTT,AP2STDEV,AP3RTT,AP3STDEV,x,y,predicted_x,predicted_y
10.104,1.069,5.842,0.187,9.319,0.196,1,1,2.410924642857145,0.7243415555555559
9.898,1.04,5.959,0.141,9.397,0.137,1,1,2.809514642857145,1.0299598333333337
9.781,1.111,5.998,0.09,9.358,0.189,1,1,2.9217287857142864,1.1837801666666665
9.84,1.194,5.998,0.138,9.397,0.088,1,1,2.8912863571428584,1.1194668888888895
11.11,0.56,5.959,0.163,9.475,0.115,1,1,1.0959660714285715,-0.3845788333333328
9.811,1.164,5.764,0.22,9.436,0.201,1,1,2.984455357142857,0.9982208333333339
9.869,1.16,6.037,0.175,9.456,0.076,1,1,2.9299124999999995,1.1137893333333335
9.869,1.168,5.881,0.209,9.397,0.157,1,1,2.8504605714285725,1.0105000000000004
9.869,1.127,5.842,0.208,9.436,0.124,1,1,2.9029239285714286,0.9851001666666667
9.986,1.119,5.998,0.141,9.397,0.103,1,1,2.6845294999999996,0.9586559999999993
9.723,1.248,5.959,0.162,9.397,0.125,1,1,3.0547771428571435,1.2207195555555548
9.84,1.146,5.998,0.145,9.397,0.079,1,1,2.8912863571428584,1.1194668888888895
9.518,1.317,5.959,0.187,9.456,0.123,1,1,3.415972285714283,1.4398531666666652
9.664,1.204,5.998,0.174,9.368,0.146,1,1,3.097609142857144,1.3101726666666673
9.635,1.196,5.842,0.148,9.426,0.086,1,1,3.215446500000001,1.2386521666666666
9.752,1.161,6.037,0.109,9.368,0.129,1,1,2.9755657142857137,1.2413258333333321
9.752,1.16,5.998,0.085,9.456,0.11,1,1,3.093887999999998,1.215249999999999
9.723,1.199,5.998,0.105,9.368,0.13,1,1,3.0159067857142863,1.2466263888888884
10.514,0.827,6.077,0.108,9.456,0.116,1,1,1.9908385714285715,0.4103185000000009
9.635,1.226,5.881,0.121,9.338,0.133,1,1,3.097501357142856,1.2640520000000004
9.488,1.345,5.881,0.152,9.397,0.092,1,1,3.377247500000001,1.4202231666666671
10.016,1.143,5.842,0.141,9.397,0.148,1,1,2.6416680714285716,0.8227059999999997
9.957,1.115,6.037,0.092,9.436,0.153,1,1,2.7783033571428564,1.0168622222222217
10.045,1.068,5.764,0.255,9.475,0.131,1,1,2.7052571428571426,0.7400928333333339
9.752,1.211,5.881,0.189,9.514,0.12,1,1,3.1724779999999977,1.1380364999999992
9.488,1.314,5.998,0.187,9.397,0.171,1,1,3.377247500000001,1.497436666666667
9.606,1.265,5.998,0.122,9.514,0.13,1,1,3.3743542857142854,1.3722648888888895
10.953,0.626,5.881,0.168,9.475,0.109,1,1,1.3433868571428573,-0.24344711111111017
9.781,1.182,5.998,0.17,9.397,0.092,1,1,2.9739748571428573,1.1837801666666665
9.635,1.307,5.998,0.177,9.514,0.125,1,1,3.3344979285714285,1.3412655000000002
9.781,1.262,5.959,0.197,9.397,0.151,1,1,2.9739748571428577,1.1578733333333326
9.811,1.201,5.959,0.123,9.28,0.166,1,1,2.7759056428571434,1.1252199999999999
9.928,1.089,5.998,0.154,9.397,0.114,1,1,2.7670303571428567,1.0228233333333325
9.781,1.209,5.881,0.214,9.358,0.145,1,1,2.921728785714287,1.1065666666666665
9.928,1.218,5.998,0.187,9.397,0.168,1,1,2.7670303571428567,1.0228233333333325
9.898,1.174,6.037,0.127,9.436,0.131,1,1,2.861978,1.0819425000000007
9.986,1.063,5.959,0.12,9.338,0.117,1,1,2.6055748571428547,0.9327491666666659
9.811,1.227,5.959,0.163,9.436,0.143,1,1,2.9844553571428567,1.1252199999999999
9.928,1.183,5.881,0.214,9.436,0.107,1,1,2.8194937142857124,0.9456098333333327
10.191,1.064,5.881,0.185,9.514,0.099,1,1,2.547122499999998,0.6516488888888882
9.811,1.183,5.998,0.15,9.358,0.133,1,1,2.8797459285714297,1.151126833333334
10.191,1.011,5.959,0.192,9.397,0.105,1,1,2.389080571428571,0.7029555555555539
9.957,1.173,5.881,0.195,9.358,0.134,1,1,2.673593928571429,0.9135728888888887
10.045,1.073,5.803,0.182,9.358,0.077,1,1,2.547867071428573,0.7651546666666668
10.221,0.933,6.037,0.187,9.426,0.127,1,1,2.384331071428572,0.7209182222222223
10.261,0.902,5.842,0.21,9.397,0.15,1,1,2.2868205714285725,0.5467135000000004
10.045,1.13,5.998,0.104,9.436,0.126,1,1,2.6525765000000003,0.8929988333333339
10.759,0.81,5.842,0.175,9.397,0.13,1,1,1.5391091428571428,-0.034839833333334035
10.367,0.89,5.92,0.184,9.319,0.165,1,1,2.026362285714287,0.4762061666666663
9.957,1.156,5.959,0.259,9.319,0.154,1,1,2.6215651428571443,0.9648795555555547
10.895,0.694,5.842,0.27,9.436,0.124,1,1,1.3812193571428577,-0.19844783333333282
10.25,0.887,5.959,0.15,9.397,0.129,1,1,2.302936357142859,0.6359545
10.25,1.056,5.998,0.131,9.397,0.117,1,1,2.302936357142858,0.6618613333333335
9.986,1.116,5.92,0.137,9.358,0.089,1,1,2.6322834285714287,0.9070113333333327
9.84,1.135,5.959,0.215,9.436,0.086,1,1,2.9437497142857136,1.0935600555555556
10.221,1.02,5.998,0.15,9.397,0.148,1,1,2.345340571428572,0.6948423888888892
10.016,1.119,5.803,0.223,9.456,0.076,1,1,2.7211199999999995,0.7974751666666664
10.25,0.948,5.959,0.15,9.368,0.071,1,1,2.264066000000002,0.6359545
9.986,1.144,6.037,0.131,9.426,0.091,1,1,2.7235199999999997,0.9847318333333325
9.957,1.146,5.959,0.197,9.397,0.097,1,1,2.7258400000000007,0.9648795555555547
10.074,1.065,5.998,0.151,9.397,0.109,1,1,2.5584380714285726,0.8605848888888895
9.986,1.157,5.92,0.129,9.397,0.116,1,1,2.6845295000000005,0.9070113333333327
10.162,1.054,6.037,0.17,9.397,0.123,1,1,2.431240357142857,0.7877291666666658
10.016,1.113,5.998,0.177,9.397,0.15,1,1,2.641668071428572,0.9253193333333335
10.191,0.972,5.92,0.15,9.397,0.112,1,1,2.389080571428571,0.6772177222222209
9.986,1.113,5.959,0.154,9.358,0.127,1,1,2.6322834285714287,0.9327491666666659
10.045,1.157,6.037,0.14,9.397,0.128,1,1,2.600113142857144,0.9190746666666669
9.928,1.101,5.92,0.122,9.436,0.082,1,1,2.8194937142857124,0.9711786666666656
9.693,1.309,5.998,0.128,9.358,0.152,1,1,3.044136785714288,1.2789863888888897
9.88,1.141,5.998,0.086,9.456,0.098,1,1,2.9143954285714266,1.0756446666666657
9.616,1.248,6.077,0.085,9.358,0.148,1,1,3.1503362857142867,1.4145818333333335
9.811,1.173,5.92,0.151,9.397,0.077,1,1,2.9319920000000015,1.0994821666666668
9.84,1.183,5.881,0.149,9.338,0.117,1,1,2.8123317142857136,1.0422533888888896
10.719,1.378,5.998,0.122,9.358,0.125,1,1,1.5482287857142873,0.1155023888888896
9.781,1.238,5.998,0.112,9.358,0.14,1,1,2.9217287857142864,1.1837801666666665
9.664,1.187,5.959,0.105,9.436,0.119,1,1,3.1889428571428566,1.2842658333333334
9.84,1.207,5.959,0.15,9.436,0.091,1,1,2.9437497142857136,1.0935600555555556
9.693,1.235,5.959,0.163,9.436,0.091,1,1,3.1488462142857143,1.2530795555555558
9.752,1.203,5.959,0.121,9.358,0.16,1,1,2.962189999999999,1.1893431666666652
9.957,1.122,5.881,0.151,9.436,0.107,1,1,2.7783033571428564,0.9135728888888887
9.752,1.192,5.881,0.176,9.475,0.12,1,1,3.1195800714285693,1.1380364999999992
9.869,1.146,5.92,0.124,9.397,0.131,1,1,2.850460571428573,1.0360688333333334
10.016,1.062,5.959,0.174,9.397,0.15,1,1,2.641668071428573,0.8994125
9.693,1.201,5.842,0.161,9.319,0.189,1,1,2.9921080000000018,1.176373055555556
9.957,1.026,5.881,0.234,9.397,0.141,1,1,2.72584,0.9135728888888887
9.898,1.055,5.959,0.122,9.397,0.125,1,1,2.809514642857145,1.0299598333333337
9.869,1.068,5.842,0.166,9.368,0.144,1,1,2.8115902142857156,0.9851001666666667
10.543,0.779,5.998,0.085,9.455,0.13,1,1,1.9458697142857155,0.32339750000000106
9.811,1.168,5.92,0.195,9.397,0.109,1,1,2.9319920000000015,1.0994821666666668
9.928,1.162,5.842,0.134,9.436,0.145,1,1,2.8194937142857124,0.9202099999999989
9.81,1.114,5.842,0.161,9.436,0.119,1,1,2.9858568571428563,1.049603555555555
10.162,1.032,5.842,0.223,9.436,0.159,1,1,2.483703714285713,0.659039999999999
9.869,1.156,5.881,0.139,9.309,0.096,1,1,2.7328799999999993,1.0105000000000004
10.261,1.077,5.998,0.163,9.436,0.119,1,1,2.339283928571429,0.6493268333333341
9.898,1.147,5.92,0.168,9.475,0.113,1,1,2.914658642857143,1.0042220000000006
10.191,0.966,6.037,0.142,9.358,0.133,1,1,2.3368345,0.7549382222222213
10.085,1.171,5.92,0.122,9.397,0.115,1,1,2.542598857142857,0.7966208333333324
10.085,1.204,5.998,0.112,9.397,0.139,1,1,2.542598857142856,0.8482654999999989
9.752,1.919,5.92,0.152,9.514,0.088,1,1,3.172477999999999,1.1636053333333323
9.84,1.135,5.92,0.125,9.358,0.153,1,1,2.8390402857142862,1.0678222222222225
9.693,1.928,5.842,0.153,9.338,0.097,1,1,3.017428214285714,1.176373055555556
10.396,0.997,5.959,0.085,9.514,0.129,1,1,2.245669999999998,0.468492499999998
9.781,1.179,5.92,0.123,9.368,0.128,1,1,2.935104500000001,1.1321354999999997
9.811,1.251,5.842,0.174,9.397,0.127,1,1,2.931992000000001,1.0485135
9.664,1.308,5.881,0.119,9.436,0.101,1,1,3.188942857142857,1.2329591666666675
9.84,1.196,5.959,0.152,9.436,0.13,1,1,2.9437497142857136,1.0935600555555556
9.811,1.214,5.842,0.161,9.475,0.089,1,1,3.037136,1.0485135
9.957,1.17,5.959,0.149,9.338,0.115,1,1,2.6468853571428554,0.9648795555555547
9.752,1.22,6.076,0.108,9.436,0.129,1,1,3.066899428571426,1.2675706666666655
10.231,1.214,5.959,0.093,9.455,0.122,1,1,2.4088331428571435,0.6575733333333333
10.836,0.823,5.842,0.158,9.319,0.139,1,1,1.3160617857142864,-0.12721844444444486
9.811,1.288,6.077,0.105,9.319,0.154,1,1,2.8277171428571446,1.204122666666667
9.752,1.282,5.998,0.127,9.338,0.115,1,1,2.935481428571426,1.215249999999999
9.84,3.394,6.077,0.084,9.475,0.109,1,1,2.9964303571428568,1.1724627222222226
9.898,1.168,5.998,0.14,9.309,0.129,1,1,2.6919340714285713,1.0558666666666676
9.781,1.232,5.881,0.167,9.514,0.161,1,1,3.132016785714285,1.1065666666666665
9.84,1.214,5.92,0.151,9.456,0.114,1,1,2.9707382857142846,1.0678222222222225
10.612,1.419,5.92,0.163,9.397,0.147,1,1,1.7635046428571448,0.19065866666666725
9.547,1.33,5.998,0.142,9.397,0.147,1,1,3.2970285714285716,1.4350441666666665
9.752,1.213,5.842,0.161,9.426,0.154,1,1,3.0534265714285707,1.1126366666666654
9.811,1.132,5.92,0.135,9.397,0.13,1,1,2.9319920000000015,1.0994821666666668
9.693,1.25,5.998,0.112,9.475,0.127,1,1,3.201526857142857,1.2789863888888897
9.781,1.177,6.116,0.085,9.358,0.167,1,1,2.921728785714287,1.263194166666666
9.693,1.21,5.92,0.185,9.358,0.171,1,1,3.044136785714287,1.2273417222222227
10.924,0.63,5.92,0.136,9.436,0.117,1,1,1.3360228571428567,-0.1826319999999997
10.388,0.954,6.037,0.141,9.338,0.084,1,1,2.0205499999999987,0.5297124999999999
9.752,1.156,5.881,0.189,9.436,0.12,1,1,3.0668994285714266,1.1380364999999992
10.016,1.179,6.076,0.074,9.338,0.084,1,1,2.5627134285714273,0.9776399999999997
9.811,1.153,6.037,0.197,9.358,0.107,1,1,2.87974592857143,1.177202666666667
10.836,0.768,5.92,0.135,9.358,0.097,1,1,1.3680905714285712,-0.07624977777777847
9.957,1.13,5.92,0.173,9.309,0.107,1,1,2.608259428571427,0.9391417222222221
9.898,1.122,6.037,0.125,9.436,0.107,1,1,2.861978,1.0819425000000007
9.752,1.142,5.998,0.199,9.338,0.124,1,1,2.935481428571426,1.215249999999999
9.781,1.201,5.881,0.175,9.338,0.128,1,1,2.8950202142857133,1.1065666666666665
10.426,0.84,5.725,0.248,9.475,0.147,1,1,2.1481535000000007,0.281897166666667
10.367,0.922,5.998,0.089,9.436,0.103,1,1,2.183100499999999,0.5278508333333328
10.133,1.017,5.881,0.217,9.397,0.077,1,1,2.4732800000000013,0.7171373333333343
10.602,0.792,5.881,0.186,9.397,0.125,1,1,1.7786575000000002,0.17687538888888887
10.953,0.572,5.92,0.15,9.338,0.074,1,1,1.1592882142857133,-0.21787827777777757
10.221,0.963,5.959,0.215,9.475,0.101,1,1,2.450484571428571,0.6689355555555557
10.045,1.116,5.959,0.154,9.397,0.126,1,1,2.600113142857144,0.8670919999999995
9.723,1.261,5.92,0.152,9.338,0.117,1,1,2.975822499999998,1.1949817222222217
9.84,1.195,5.959,0.186,9.338,0.074,1,1,2.812331714285713,1.0935600555555556
9.84,1.274,6.077,0.128,9.397,0.132,1,1,2.8912863571428584,1.1724627222222226
9.986,1.071,5.959,0.105,9.426,0.153,1,1,2.7235199999999997,0.9327491666666659
9.723,1.22,5.881,0.175,9.475,0.08,1,1,3.1599211428571414,1.1694128888888886
9.723,1.209,5.959,0.198,9.397,0.15,1,1,3.0547771428571435,1.2207195555555548
9.664,1.219,5.92,0.174,9.319,0.193,1,1,3.032204642857145,1.2585280000000003
10.407,1.245,5.959,0.105,9.426,0.14,1,1,2.1102733571428565,0.45577955555555466
9.898,1.183,5.998,0.122,9.358,0.112,1,1,2.757268571428573,1.0558666666666676
10.045,1.027,5.92,0.195,9.475,0.145,1,1,2.7052571428571417,0.8413541666666665
9.957,0.997,5.842,0.232,9.309,0.073,1,1,2.608259428571427,0.8881730555555549
11.169,0.486,5.92,0.189,9.397,0.147,1,1,0.8969320000000006,-0.4833422777777783
9.869,1.101,5.998,0.137,9.338,0.086,1,1,2.771505928571428,1.0877135000000004
9.957,1.009,5.998,0.17,9.436,0.136,1,1,2.7783033571428564,0.9907863888888886
9.898,1.173,6.037,0.139,9.368,0.099,1,1,2.7706442857142872,1.0819425000000007
9.928,1.118,6.037,0.122,9.319,0.126,1,1,2.6627555,1.0488991666666658
10.074,1.03,5.803,0.161,9.475,0.113,1,1,2.663582071428572,0.7327407222222225
10.016,1.001,5.92,0.123,9.309,0.156,1,1,2.5240874999999994,0.8736746666666669
10.104,0.996,5.959,0.151,9.475,0.079,1,1,2.6203434999999997,0.8010480555555561
10.016,0.986,5.842,0.24,9.456,0.113,1,1,2.7211199999999995,0.8227059999999997
9.986,1.051,5.881,0.184,9.436,0.146,1,1,2.736992857142856,0.8814424999999994
9.986,1.08,5.998,0.159,9.397,0.107,1,1,2.6845294999999996,0.9586559999999993
10.104,0.896,6.037,0.127,9.397,0.145,1,1,2.5151995000000014,0.8530307222222228
9.811,1.08,6.037,0.154,9.426,0.085,1,1,2.9709825000000007,1.177202666666667
9.957,1.527,5.881,0.177,9.485,0.133,1,1,2.8445268571428555,0.9135728888888887
10.309,0.89,5.842,0.185,9.358,0.147,1,1,2.164048785714288,0.4918601666666673
10.641,1.046,6.037,0.122,9.358,0.128,1,1,1.6672345000000015,0.2341382222222224
9.957,1.021,5.998,0.175,9.436,0.13,1,1,2.7783033571428564,0.9907863888888886
9.928,1.83,5.959,0.137,9.397,0.15,1,1,2.767030357142857,0.9969164999999987
9.928,1.569,5.881,0.152,9.368,0.095,1,1,2.72816,0.9456098333333327
9.928,1.088,5.92,0.174,9.397,0.148,1,1,2.767030357142857,0.9711786666666656
10.074,1.376,5.998,0.18,9.368,0.089,1,1,2.519567714285716,0.8605848888888895
10.104,1.023,5.998,0.165,9.426,0.167,1,1,2.5541900000000015,0.8269548888888897
10.114,1.077,5.959,0.155,9.426,0.085,1,1,2.5397485714285706,0.7898158333333325
10.045,0.963,5.959,0.154,9.368,0.071,1,1,2.5612427857142865,0.8670919999999995
9.795,1.205,5.881,0.226,9.456,0.158,1,1,3.033850785714285,1.0913408888888891
9.752,1.547,5.959,0.208,9.397,0.093,1,1,3.0144360714285714,1.1893431666666652
9.811,1.627,5.881,0.151,9.397,0.125,1,1,2.931992000000001,1.073913333333334
9.928,1.144,5.92,0.163,9.368,0.099,1,1,2.72816,0.9711786666666656
10.045,1.045,5.764,0.241,9.397,0.134,1,1,2.600113142857144,0.7400928333333339
10.074,1.074,5.881,0.205,9.436,0.109,1,1,2.6109014285714287,0.7833713888888896
9.986,1.519,5.92,0.154,9.368,0.097,1,1,2.645659142857143,0.9070113333333327
9.84,1.125,5.959,0.105,9.397,0.106,1,1,2.8912863571428584,1.0935600555555556
9.811,1.186,5.881,0.174,9.309,0.145,1,1,2.814411428571428,1.073913333333334
9.752,1.104,5.959,0.185,9.436,0.125,1,1,3.066899428571426,1.1893431666666652
10.319,1.117,5.959,0.158,9.368,0.108,1,1,2.162690214285713,0.5571066666666648
9.635,1.247,5.92,0.186,9.368,0.095,1,1,3.1375856428571445,1.2896208333333332
9.723,1.159,5.92,0.141,9.397,0.147,1,1,3.0547771428571435,1.1949817222222217
9.898,1.075,6.037,0.181,9.358,0.143,1,1,2.757268571428573,1.0819425000000007
9.781,1.091,5.998,0.159,9.358,0.184,1,1,2.9217287857142864,1.1837801666666665
9.693,1.195,5.764,0.24,9.397,0.095,1,1,3.0963828571428587,1.1260803888888897
9.986,1.017,6.037,0.137,9.358,0.13,1,1,2.6322834285714287,0.9847318333333325
9.752,1.188,5.92,0.105,9.368,0.097,1,1,2.975565714285714,1.1636053333333323
9.781,1.035,6.037,0.151,9.397,0.137,1,1,2.9739748571428573,1.2098559999999998
9.752,1.191,5.998,0.176,9.368,0.109,1,1,2.9755657142857137,1.215249999999999
9.576,1.307,5.881,0.214,9.25,0.138,1,1,3.0616231428571417,1.3270213888888884
9.898,1.146,5.881,0.195,9.368,0.13,1,1,2.7706442857142877,0.9786531666666676
9.84,1.06,5.998,0.215,9.338,0.097,1,1,2.812331714285714,1.1194668888888895
9.811,1.18,6.077,0.138,9.436,0.165,1,1,2.984455357142857,1.204122666666667
9.693,1.191,6.076,0.142,9.436,0.138,1,1,3.1488462142857143,1.331307055555556
9.752,1.141,5.998,0.187,9.397,0.157,1,1,3.0144360714285705,1.215249999999999
10.045,1.044,5.998,0.197,9.426,0.124,1,1,2.639103642857144,0.8929988333333339
10.045,1.03,5.92,0.129,9.436,0.097,1,1,2.6525764999999994,0.8413541666666665
9.928,1.053,6.076,0.176,9.319,0.146,1,1,2.6627555000000003,1.0751439999999988
9.781,1.183,5.998,0.151,9.338,0.085,1,1,2.8950202142857133,1.1837801666666665
10.074,1.107,5.998,0.164,9.358,0.161,1,1,2.5061920000000013,0.8605848888888895
9.938,1.086,5.803,0.243,9.397,0.097,1,1,2.752840357142857,0.8839424999999994
10.016,1.079,5.959,0.174,9.426,0.127,1,1,2.6806585714285722,0.8994125
9.869,1.733,5.998,0.154,9.309,0.131,1,1,2.7328799999999993,1.0877135000000004
10.045,1.055,5.92,0.152,9.426,0.061,1,1,2.639103642857143,0.8413541666666665
10.074,0.976,5.998,0.092,9.368,0.107,1,1,2.519567714285716,0.8605848888888895
9.928,1.057,5.881,0.135,9.397,0.15,1,1,2.7670303571428567,0.9456098333333327
9.84,1.14,5.959,0.112,9.436,0.105,1,1,2.9437497142857136,1.0935600555555556
9.811,1.041,5.959,0.195,9.436,0.097,1,1,2.9844553571428567,1.1252199999999999
10.895,0.608,5.998,0.177,9.436,0.117,1,1,1.381219357142858,-0.0958344999999991
9.986,1.063,5.881,0.271,9.456,0.116,1,1,2.763981428571427,0.8814424999999994
10.279,0.981,6.116,0.121,9.358,0.077,1,1,2.20816592857143,0.7082008333333332
10.309,0.875,5.959,0.14,9.397,0.093,1,1,2.21629485714286,0.5685666666666676
9.869,1.143,5.998,0.145,9.397,0.074,1,1,2.8504605714285725,1.0877135000000004
11.129,0.53,5.881,0.189,9.426,0.085,1,1,0.9996310714285731,-0.45935999999999905
10.133,0.894,5.881,0.163,9.397,0.131,1,1,2.4732800000000013,0.7171373333333343
9.781,1.238,6.037,0.168,9.358,0.132,1,1,2.9217287857142864,1.2098559999999998
11.811,2.224,5.959,0.253,9.436,0.158,1,1,-0.10440178571428557,-1.277224444444444
9.781,1.02,5.92,0.21,9.358,0.189,1,1,2.921728785714286,1.1321354999999997
11.334,0.433,5.842,0.173,9.426,0.109,1,1,0.6707085714285727,-0.7405884444444442
10.191,0.953,5.959,0.121,9.602,0.133,1,1,2.6672802142857126,0.7029555555555539
11.305,0.451,5.998,0.165,9.543,0.094,1,1,0.8761302857142853,-0.601501166666666
10.894,0.578,5.92,0.174,9.358,0.148,1,1,1.2780662857142866,-0.14626866666666652
11.51,0.282,5.92,0.208,9.426,0.146,1,1,0.38352685714285834,-0.9129833333333326
10.543,0.844,6.077,0.092,9.397,0.134,1,1,1.8677685714285732,0.37639333333333425
10.719,0.668,6.076,0.107,9.397,0.126,1,1,1.6004748571428584,0.1678230555555555
9.635,1.656,5.92,0.223,9.358,0.095,1,1,3.124209928571429,1.2896208333333332
10.953,0.325,5.725,0.199,9.358,0.195,1,1,1.1859967857142888,-0.3440324444444435
10.748,1.888,5.959,0.128,9.368,0.097,1,1,1.5171371428571458,0.05500983333333428
